Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes	
tRNA export from nucleus (GO:0006409)	1/34	0.116999506	0.215888523	0	0	8.372895623	17.964764	RAN	
tRNA-containing ribonucleoprotein complex export from nucleus (GO:0071431)	1/34	0.116999506	0.215888523	0	0	8.372895623	17.964764	RAN	
protein insertion into membrane (GO:0051205)	1/34	0.116999506	0.215888523	0	0	8.372895623	17.964764	STX1A	
cellular protein localization (GO:0034613)	3/329	0.118922708	0.218899397	0	0	2.57681858	5.486772146	EPB41L3;STX1A;ARCN1	
regulation of mitotic spindle organization (GO:0060236)	1/35	0.120227941	0.22076084	0	0	8.12622549	17.2143184	HNRNPU	
negative regulation of canonical Wnt signaling pathway (GO:0090090)	2/165	0.121849171	0.222853353	0	0	3.415536162	7.189605602	PSMA1;RUVBL2	
regulation of MAPK cascade (GO:0043408)	2/166	0.123056259	0.222853353	0	0	3.394537959	7.11194278	PEBP1;HMGB1	
positive regulation of cytokine-mediated signaling pathway (GO:0001961)	1/36	0.123444733	0.222853353	0	0	7.893650794	16.51321534	CPNE1	
regulation of embryonic development (GO:0045995)	1/36	0.123444733	0.222853353	0	0	7.893650794	16.51321534	CFL1	
intrinsic apoptotic signaling pathway by p53 class mediator (GO:0072332)	1/36	0.123444733	0.222853353	0	0	7.893650794	16.51321534	DDX5	
regulation of mRNA processing (GO:0050684)	1/36	0.123444733	0.222853353	0	0	7.893650794	16.51321534	HNRNPK	
regulation of protein import into nucleus (GO:0042306)	1/36	0.123444733	0.222853353	0	0	7.893650794	16.51321534	RAN	
intracellular protein transport (GO:0006886)	3/336	0.124509445	0.224236435	0	0	2.521750322	5.253748303	STX1A;RAN;ARCN1	
tRNA transport (GO:0051031)	1/37	0.126649924	0.226462127	0	0	7.673996914	15.85699852	RAN	
phospholipid biosynthetic process (GO:0008654)	1/37	0.126649924	0.226462127	0	0	7.673996914	15.85699852	CPNE1	
protein insertion into ER membrane (GO:0045048)	1/37	0.126649924	0.226462127	0	0	7.673996914	15.85699852	STX1A	
neuron projection development (GO:0031175)	2/171	0.129135489	0.227301889	0	0	3.29327444	6.740980803	EPB41L3;HMGB1	
negative regulation of endothelial cell migration (GO:0010596)	1/38	0.129843556	0.227301889	0	0	7.466216216	15.24172023	HMGB1	
negative regulation of innate immune response (GO:0045824)	1/38	0.129843556	0.227301889	0	0	7.466216216	15.24172023	YTHDF2	
response to estradiol (GO:0032355)	1/38	0.129843556	0.227301889	0	0	7.466216216	15.24172023	RUVBL2	
spliceosomal snRNP assembly (GO:0000387)	1/38	0.129843556	0.227301889	0	0	7.466216216	15.24172023	CLNS1A	
synaptic vesicle endocytosis (GO:0048488)	1/38	0.129843556	0.227301889	0	0	7.466216216	15.24172023	STX1A	
positive regulation of signaling (GO:0023056)	1/38	0.129843556	0.227301889	0	0	7.466216216	15.24172023	CLSTN1	
DNA replication initiation (GO:0006270)	1/38	0.129843556	0.227301889	0	0	7.466216216	15.24172023	MCM6	
ncRNA export from nucleus (GO:0097064)	1/38	0.129843556	0.227301889	0	0	7.466216216	15.24172023	RAN	
"negative regulation of transcription, DNA-templated (GO:0045892)"	6/948	0.131875217	0.230321599	0	0	1.804829356	3.656402226	TCERG1;SFPQ;ILF3;DDX5;HNRNPU;HMGB1	
regulation of receptor-mediated endocytosis (GO:0048259)	1/39	0.133025668	0.230400262	0	0	7.269371345	14.66387168	HNRNPK	
regulation of cellular component biogenesis (GO:0044087)	1/39	0.133025668	0.230400262	0	0	7.269371345	14.66387168	GFAP	
membrane protein proteolysis (GO:0033619)	1/39	0.133025668	0.230400262	0	0	7.269371345	14.66387168	RBMX	
regulation of apoptotic process (GO:0042981)	5/742	0.134273714	0.230400262	0	0	1.914558225	3.844193446	HNRNPK;PDCD5;CFL1;HMGB1;KNG1	
negative regulation of blood coagulation (GO:0030195)	1/40	0.136196302	0.230400262	0	0	7.082621083	14.12032445	KNG1	
positive regulation of cation channel activity (GO:2001259)	1/40	0.136196302	0.230400262	0	0	7.082621083	14.12032445	TMSB4X	
negative regulation of ERBB signaling pathway (GO:1901185)	1/40	0.136196302	0.230400262	0	0	7.082621083	14.12032445	EPN1	
positive regulation of double-strand break repair (GO:2000781)	1/40	0.136196302	0.230400262	0	0	7.082621083	14.12032445	FUS	
bone development (GO:0060348)	1/40	0.136196302	0.230400262	0	0	7.082621083	14.12032445	RPL13	
positive regulation of intrinsic apoptotic signaling pathway (GO:2001244)	1/40	0.136196302	0.230400262	0	0	7.082621083	14.12032445	SFPQ	
sulfur compound catabolic process (GO:0044273)	1/40	0.136196302	0.230400262	0	0	7.082621083	14.12032445	CSPG4	
synaptic vesicle exocytosis (GO:0016079)	1/40	0.136196302	0.230400262	0	0	7.082621083	14.12032445	STX1A	
regulation of nitric oxide biosynthetic process (GO:0045428)	1/40	0.136196302	0.230400262	0	0	7.082621083	14.12032445	KHSRP	
positive regulation of developmental process (GO:0051094)	2/177	0.136522126	0.230400262	0	0	3.179396378	6.331032116	CFL1;LMNA	
glycerophospholipid biosynthetic process (GO:0046474)	2/177	0.136522126	0.230400262	0	0	3.179396378	6.331032116	IMPA1;CPNE1	
regulation of translation (GO:0006417)	2/178	0.137762446	0.230519779	0	0	3.161171575	6.266151689	ILF3;HNRNPD	
regulation of mitotic cell cycle (GO:0007346)	2/178	0.137762446	0.230519779	0	0	3.161171575	6.266151689	PSMA1;HNRNPU	
positive regulation of intracellular signal transduction (GO:1902533)	4/546	0.138721856	0.230519779	0	0	2.073372908	4.095501128	PPP5C;CPNE1;RPS20;HMGB1	
ubiquitin-dependent protein catabolic process (GO:0006511)	3/354	0.139302596	0.230519779	0	0	2.39023199	4.711402444	PSMA1;ADRM1;UBE2G1	
epithelial cell migration (GO:0010631)	1/41	0.139355499	0.230519779	0	0	6.905208333	13.60828094	PKN1	
regulation of release of cytochrome c from mitochondria (GO:0090199)	1/41	0.139355499	0.230519779	0	0	6.905208333	13.60828094	PDCD5	
regulation of cell development (GO:0060284)	1/41	0.139355499	0.230519779	0	0	6.905208333	13.60828094	YTHDF2	
cortical cytoskeleton organization (GO:0030865)	1/41	0.139355499	0.230519779	0	0	6.905208333	13.60828094	EPB41L3	
nucleobase-containing compound catabolic process (GO:0034655)	1/41	0.139355499	0.230519779	0	0	6.905208333	13.60828094	HNRNPD	
positive regulation of ATPase activity (GO:0032781)	1/42	0.1425033	0.233052901	0	0	6.736449864	13.12523238	HNRNPU	
ATP-dependent chromatin remodeling (GO:0043044)	1/42	0.1425033	0.233052901	0	0	6.736449864	13.12523238	HNRNPC	
negative regulation of protein catabolic process (GO:0042177)	1/42	0.1425033	0.233052901	0	0	6.736449864	13.12523238	SNRNP70	
nucleic acid-templated transcription (GO:0097659)	1/42	0.1425033	0.233052901	0	0	6.736449864	13.12523238	PPP5C	
regulation of nervous system development (GO:0051960)	1/42	0.1425033	0.233052901	0	0	6.736449864	13.12523238	YTHDF2	
negative regulation of cytokine production (GO:0001818)	2/182	0.142748781	0.233052901	0	0	3.09029734	6.015785945	TMSB4X;HMGB1	
negative regulation of proteolysis (GO:0045861)	1/43	0.145639745	0.23623207	0	0	6.575727513	12.66892294	KNG1	
signal release from synapse (GO:0099643)	1/43	0.145639745	0.23623207	0	0	6.575727513	12.66892294	STX1A	
positive regulation of neuron differentiation (GO:0045666)	1/43	0.145639745	0.23623207	0	0	6.575727513	12.66892294	CPNE1	
negative regulation of epidermal growth factor receptor signaling pathway (GO:0042059)	1/44	0.148764874	0.239234305	0	0	6.42248062	12.23731909	EPN1	
positive regulation of receptor-mediated endocytosis (GO:0048260)	1/44	0.148764874	0.239234305	0	0	6.42248062	12.23731909	HNRNPK	
neurotransmitter secretion (GO:0007269)	1/44	0.148764874	0.239234305	0	0	6.42248062	12.23731909	STX1A	
protein K63-linked ubiquitination (GO:0070534)	1/44	0.148764874	0.239234305	0	0	6.42248062	12.23731909	UBE2G1	
positive regulation of chemotaxis (GO:0050921)	1/45	0.151878728	0.242167568	0	0	6.276199495	11.82858322	TMSB4X	
positive regulation of nervous system development (GO:0051962)	1/45	0.151878728	0.242167568	0	0	6.276199495	11.82858322	CLSTN1	
positive regulation of RNA metabolic process (GO:0051254)	1/45	0.151878728	0.242167568	0	0	6.276199495	11.82858322	DDX5	
regulation of pri-miRNA transcription by RNA polymerase II (GO:1902893)	1/45	0.151878728	0.242167568	0	0	6.276199495	11.82858322	DDX5	
negative regulation of cell differentiation (GO:0045596)	2/191	0.154105429	0.24451889	0	0	2.941798942	5.501512047	YTHDF2;HNRNPU	
negative regulation of Wnt signaling pathway (GO:0030178)	2/191	0.154105429	0.24451889	0	0	2.941798942	5.501512047	PSMA1;RUVBL2	
regulation of DNA metabolic process (GO:0051052)	1/46	0.154981347	0.24451889	0	0	6.136419753	11.44105095	HNRNPD	
regulation of double-strand break repair via homologous recombination (GO:0010569)	1/46	0.154981347	0.24451889	0	0	6.136419753	11.44105095	FUS	
positive regulation of nucleocytoplasmic transport (GO:0046824)	1/46	0.154981347	0.24451889	0	0	6.136419753	11.44105095	RAN	
cellular response to tumor necrosis factor (GO:0071356)	2/194	0.157930112	0.247834344	0	0	2.895393192	5.34374541	PSMA1;TMSB4X	
regulation of synapse assembly (GO:0051963)	1/47	0.158072771	0.247834344	0	0	6.002717391	11.07321143	CLSTN1	
histone deacetylation (GO:0016575)	1/47	0.158072771	0.247834344	0	0	6.002717391	11.07321143	SFPQ	
protein localization to membrane (GO:0072657)	2/195	0.159209078	0.249095871	0	0	2.880245202	5.292557076	EPB41L3;AGRN	
positive regulation of DNA repair (GO:0045739)	1/48	0.161153039	0.249538005	0	0	5.874704492	10.72369034	HMGB1	
positive regulation of endocytosis (GO:0045807)	1/48	0.161153039	0.249538005	0	0	5.874704492	10.72369034	HNRNPK	
histone H4 acetylation (GO:0043967)	1/48	0.161153039	0.249538005	0	0	5.874704492	10.72369034	RUVBL2	
regulation of interleukin-10 production (GO:0032653)	1/48	0.161153039	0.249538005	0	0	5.874704492	10.72369034	HMGB1	
myelination (GO:0042552)	1/48	0.161153039	0.249538005	0	0	5.874704492	10.72369034	EPB41L3	
aminoglycan biosynthetic process (GO:0006023)	1/49	0.164222192	0.253767215	0	0	5.752025463	10.39123496	AGRN	
regulation of cellular component movement (GO:0051270)	1/50	0.167280269	0.257961976	0	0	5.634353741	10.07470124	PKN1	
positive regulation of fat cell differentiation (GO:0045600)	1/51	0.170327309	0.259896273	0	0	5.521388889	9.773042438	HNRNPU	
regulation of cellular amine metabolic process (GO:0033238)	1/51	0.170327309	0.259896273	0	0	5.521388889	9.773042438	PSMA1	
inositol lipid-mediated signaling (GO:0048017)	1/51	0.170327309	0.259896273	0	0	5.521388889	9.773042438	PLCD1	
regulation of interleukin-12 production (GO:0032655)	1/51	0.170327309	0.259896273	0	0	5.521388889	9.773042438	HMGB1	
DNA duplex unwinding (GO:0032508)	1/51	0.170327309	0.259896273	0	0	5.521388889	9.773042438	MCM6	
cellular protein modification process (GO:0006464)	6/1025	0.170611002	0.259896273	0	0	1.661681778	2.938466802	ILF3;PPP5C;PSMA1;PKN1;KNG1;ILKAP	
proteasomal protein catabolic process (GO:0010498)	2/205	0.172102823	0.260913582	0	0	2.736973566	4.816151595	PSMA1;UBE2G1	
negative regulation of cellular biosynthetic process (GO:0031327)	1/52	0.173363352	0.260913582	0	0	5.412854031	9.485299122	KHSRP	
ameboidal-type cell migration (GO:0001667)	1/52	0.173363352	0.260913582	0	0	5.412854031	9.485299122	PKN1	
positive regulation of developmental growth (GO:0048639)	1/52	0.173363352	0.260913582	0	0	5.412854031	9.485299122	AGRN	
negative regulation of protein-containing complex assembly (GO:0031333)	1/52	0.173363352	0.260913582	0	0	5.412854031	9.485299122	HMGB1	
plasma membrane bounded cell projection morphogenesis (GO:0120039)	1/52	0.173363352	0.260913582	0	0	5.412854031	9.485299122	EPB41L3	
positive regulation of chemokine production (GO:0032722)	1/53	0.176388437	0.264406619	0	0	5.30849359	9.210590394	HMGB1	
IRE1-mediated unfolded protein response (GO:0036498)	1/53	0.176388437	0.264406619	0	0	5.30849359	9.210590394	LMNA	
regulation of proteolysis (GO:0030162)	1/54	0.179402602	0.266267499	0	0	5.208071279	8.948106135	KNG1	
glycosaminoglycan metabolic process (GO:0030203)	1/54	0.179402602	0.266267499	0	0	5.208071279	8.948106135	AGRN	
regulation of cellular amino acid metabolic process (GO:0006521)	1/54	0.179402602	0.266267499	0	0	5.208071279	8.948106135	PSMA1	
positive regulation of leukocyte chemotaxis (GO:0002690)	1/54	0.179402602	0.266267499	0	0	5.208071279	8.948106135	HMGB1	
negative regulation of viral genome replication (GO:0045071)	1/54	0.179402602	0.266267499	0	0	5.208071279	8.948106135	ILF3	
phosphate-containing compound metabolic process (GO:0006796)	2/212	0.18123042	0.268449793	0	0	2.644802146	4.517285093	IMPA1;PLCD1	
protein sumoylation (GO:0016925)	1/55	0.182405887	0.26860161	0	0	5.111368313	8.697100141	STX1A	
negative regulation of cytokine-mediated signaling pathway (GO:0001960)	1/55	0.182405887	0.26860161	0	0	5.111368313	8.697100141	YTHDF2	
positive regulation of response to DNA damage stimulus (GO:2001022)	1/55	0.182405887	0.26860161	0	0	5.111368313	8.697100141	DDX5	
Rho protein signal transduction (GO:0007266)	1/56	0.185398331	0.272473868	0	0	5.018181818	8.456884033	CFL1	
protein modification by small protein conjugation (GO:0032446)	3/409	0.187786157	0.27470555	0	0	2.060626319	3.446297424	USP5;UBE2G1;STX1A	
negative regulation of cell cycle G2/M phase transition (GO:1902750)	1/57	0.188379971	0.27470555	0	0	4.928323413	8.226821851	PSMA1	
positive regulation of cell junction assembly (GO:1901890)	1/57	0.188379971	0.27470555	0	0	4.928323413	8.226821851	CLSTN1	
protein K48-linked ubiquitination (GO:0070936)	1/57	0.188379971	0.27470555	0	0	4.928323413	8.226821851	UBE2G1	
cellular response to lipid (GO:0071396)	2/219	0.190430786	0.276887256	0	0	2.55857727	4.243314634	RUVBL2;HMGB1	
regulation of tumor necrosis factor-mediated signaling pathway (GO:0010803)	1/58	0.191350847	0.276887256	0	0	4.841617934	8.006325233	CPNE1	
positive regulation of mitochondrion organization (GO:0010822)	1/58	0.191350847	0.276887256	0	0	4.841617934	8.006325233	PDCD5	
positive regulation of protein binding (GO:0032092)	1/58	0.191350847	0.276887256	0	0	4.841617934	8.006325233	RAN	
negative regulation of autophagy (GO:0010507)	1/59	0.194310997	0.28062992	0	0	4.757902299	7.79484911	SNRNP70	
regulation of I-kappaB kinase/NF-kappaB signaling (GO:0043122)	2/224	0.197041842	0.283255457	0	0	2.500317219	4.061363214	PPP5C;CPNE1	
adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway (GO:0007193)	1/60	0.197260458	0.283255457	0	0	4.677024482	7.591887859	AKAP12	
cellular protein catabolic process (GO:0044257)	1/60	0.197260458	0.283255457	0	0	4.677024482	7.591887859	UBE2G1	
positive regulation of interleukin-8 production (GO:0032757)	1/61	0.20019927	0.286380289	0	0	4.598842593	7.396971854	HMGB1	
pattern recognition receptor signaling pathway (GO:0002221)	1/61	0.20019927	0.286380289	0	0	4.598842593	7.396971854	HMGB1	
negative regulation of kinase activity (GO:0033673)	1/62	0.203127469	0.288371889	0	0	4.523224044	7.209664371	HNRNPU	
positive regulation of interleukin-1 production (GO:0032732)	1/62	0.203127469	0.288371889	0	0	4.523224044	7.209664371	HMGB1	
regulation of neurogenesis (GO:0050767)	1/62	0.203127469	0.288371889	0	0	4.523224044	7.209664371	YTHDF2	
double-strand break repair via nonhomologous end joining (GO:0006303)	1/62	0.203127469	0.288371889	0	0	4.523224044	7.209664371	HMGB1	
negative regulation of endopeptidase activity (GO:0010951)	1/63	0.206045094	0.290741927	0	0	4.450044803	7.029558795	KNG1	
positive regulation of DNA metabolic process (GO:0051054)	1/63	0.206045094	0.290741927	0	0	4.450044803	7.029558795	HMGB1	
negative regulation of peptidase activity (GO:0010466)	1/63	0.206045094	0.290741927	0	0	4.450044803	7.029558795	KNG1	
regulation of autophagy (GO:0010506)	2/231	0.206345469	0.290741927	0	0	2.423027246	3.824030039	HMGB1;GFAP	
regulation of cellular ketone metabolic process (GO:0010565)	1/64	0.208952183	0.291678605	0	0	4.379188713	6.856276122	PSMA1	
tRNA processing (GO:0008033)	1/64	0.208952183	0.291678605	0	0	4.379188713	6.856276122	RTCB	
diterpenoid metabolic process (GO:0016101)	1/64	0.208952183	0.291678605	0	0	4.379188713	6.856276122	AGRN	
protein catabolic process (GO:0030163)	1/64	0.208952183	0.291678605	0	0	4.379188713	6.856276122	UBE2G1	
plasma membrane organization (GO:0007009)	1/64	0.208952183	0.291678605	0	0	4.379188713	6.856276122	EPB41L3	
BMP signaling pathway (GO:0030509)	1/65	0.211848772	0.295173336	0	0	4.310546875	6.689462678	DDX5	
regulation of intracellular signal transduction (GO:1902531)	3/437	0.21398503	0.296990626	0	0	1.924917709	2.967932869	AKAP12;TMSB4X;CPNE1	
negative regulation of G2/M transition of mitotic cell cycle (GO:0010972)	1/66	0.2147349	0.296990626	0	0	4.244017094	6.528788087	PSMA1	
cell-cell junction assembly (GO:0007043)	1/66	0.2147349	0.296990626	0	0	4.244017094	6.528788087	EPB41L3	
positive regulation of T cell proliferation (GO:0042102)	1/66	0.2147349	0.296990626	0	0	4.244017094	6.528788087	HMGB1	
regulation of viral genome replication (GO:0045069)	1/67	0.217610603	0.299314218	0	0	4.179503367	6.373943403	ILF3	
regulation of epidermal growth factor receptor signaling pathway (GO:0042058)	1/67	0.217610603	0.299314218	0	0	4.179503367	6.373943403	EPN1	
transcription elongation from RNA polymerase II promoter (GO:0006368)	1/67	0.217610603	0.299314218	0	0	4.179503367	6.373943403	ADRM1	
regulation of translational initiation (GO:0006446)	1/68	0.220475919	0.302148568	0	0	4.116915423	6.224639435	YTHDF2	
positive regulation of protein localization to nucleus (GO:1900182)	1/68	0.220475919	0.302148568	0	0	4.116915423	6.224639435	RAN	
cellular response to calcium ion (GO:0071277)	1/69	0.223330885	0.304394727	0	0	4.056168301	6.080605217	CPNE1	
cellular response to decreased oxygen levels (GO:0036294)	1/69	0.223330885	0.304394727	0	0	4.056168301	6.080605217	LMNA	
"DNA-templated transcription, elongation (GO:0006354)"	1/69	0.223330885	0.304394727	0	0	4.056168301	6.080605217	ADRM1	
cellular response to light stimulus (GO:0071482)	1/70	0.226175537	0.306571202	0	0	3.997181965	5.94158662	RUVBL2	
negative regulation of viral process (GO:0048525)	1/70	0.226175537	0.306571202	0	0	3.997181965	5.94158662	ILF3	
"DNA-templated transcription, termination (GO:0006353)"	1/70	0.226175537	0.306571202	0	0	3.997181965	5.94158662	CPSF7	
protein tetramerization (GO:0051262)	1/71	0.229009913	0.306571202	0	0	3.939880952	5.807345083	CPSF7	
histone acetylation (GO:0016573)	1/71	0.229009913	0.306571202	0	0	3.939880952	5.807345083	RUVBL2	
response to metal ion (GO:0010038)	1/71	0.229009913	0.306571202	0	0	3.939880952	5.807345083	PPP5C	
regulation of endopeptidase activity (GO:0052548)	1/71	0.229009913	0.306571202	0	0	3.939880952	5.807345083	KNG1	
cellular response to BMP stimulus (GO:0071773)	1/71	0.229009913	0.306571202	0	0	3.939880952	5.807345083	DDX5	
cholesterol homeostasis (GO:0042632)	1/71	0.229009913	0.306571202	0	0	3.939880952	5.807345083	RALY	
phosphatidylinositol-mediated signaling (GO:0048015)	1/71	0.229009913	0.306571202	0	0	3.939880952	5.807345083	PLCD1	
cell junction organization (GO:0034330)	1/72	0.231834048	0.308154637	0	0	3.884194053	5.677656463	AGRN	
cell morphogenesis involved in differentiation (GO:0000904)	1/72	0.231834048	0.308154637	0	0	3.884194053	5.677656463	YTHDF2	
sterol homeostasis (GO:0055092)	1/72	0.231834048	0.308154637	0	0	3.884194053	5.677656463	RALY	
positive regulation of secretion by cell (GO:1903532)	1/72	0.231834048	0.308154637	0	0	3.884194053	5.677656463	STX1A	
negative regulation of cell adhesion (GO:0007162)	1/73	0.23464798	0.308617571	0	0	3.830054012	5.552309979	KNG1	
"antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent (GO:0002479)"	1/73	0.23464798	0.308617571	0	0	3.830054012	5.552309979	PSMA1	
positive regulation of JNK cascade (GO:0046330)	1/73	0.23464798	0.308617571	0	0	3.830054012	5.552309979	HMGB1	
neurotransmitter transport (GO:0006836)	1/73	0.23464798	0.308617571	0	0	3.830054012	5.552309979	STX1A	
positive regulation of synaptic transmission (GO:0050806)	1/73	0.23464798	0.308617571	0	0	3.830054012	5.552309979	CLSTN1	
endoplasmic reticulum organization (GO:0007029)	1/73	0.23464798	0.308617571	0	0	3.830054012	5.552309979	STX1A	
regulation of canonical Wnt signaling pathway (GO:0060828)	2/253	0.235862601	0.309672751	0	0	2.208181359	3.189730872	PSMA1;RUVBL2	
NIK/NF-kappaB signaling (GO:0038061)	1/74	0.237451744	0.310132626	0	0	3.77739726	5.431107245	PSMA1	
mitotic nuclear division (GO:0140014)	1/74	0.237451744	0.310132626	0	0	3.77739726	5.431107245	RAN	
regulation of peptide hormone secretion (GO:0090276)	1/74	0.237451744	0.310132626	0	0	3.77739726	5.431107245	STX1A	
regulation of transcription from RNA polymerase II promoter in response to hypoxia (GO:0061418)	1/75	0.240245378	0.313236595	0	0	3.726163664	5.313861393	PSMA1	
actomyosin structure organization (GO:0031032)	1/76	0.243028917	0.314138927	0	0	3.676296296	5.200396261	EPB41L3	
establishment of protein localization to organelle (GO:0072594)	1/76	0.243028917	0.314138927	0	0	3.676296296	5.200396261	RAN	
positive regulation of interleukin-6 production (GO:0032755)	1/76	0.243028917	0.314138927	0	0	3.676296296	5.200396261	HMGB1	
phospholipid metabolic process (GO:0006644)	1/76	0.243028917	0.314138927	0	0	3.676296296	5.200396261	PLCD1	
protein import into nucleus (GO:0006606)	1/76	0.243028917	0.314138927	0	0	3.676296296	5.200396261	RAN	
regulation of cellular macromolecule biosynthetic process (GO:2000112)	3/468	0.2438548	0.314476319	0	0	1.793732719	2.53128389	SFPQ;FUS;HNRNPD	
purine ribonucleotide metabolic process (GO:0009150)	1/77	0.245802396	0.314476319	0	0	3.627741228	5.09054565	RAN	
positive regulation of endothelial cell proliferation (GO:0001938)	1/77	0.245802396	0.314476319	0	0	3.627741228	5.09054565	HMGB1	
import into nucleus (GO:0051170)	1/77	0.245802396	0.314476319	0	0	3.627741228	5.09054565	RAN	
cellular response to UV (GO:0034644)	1/77	0.245802396	0.314476319	0	0	3.627741228	5.09054565	RUVBL2	
positive regulation of tumor necrosis factor production (GO:0032760)	1/77	0.245802396	0.314476319	0	0	3.627741228	5.09054565	HMGB1	
antigen processing and presentation of exogenous peptide antigen via MHC class I (GO:0042590)	1/78	0.248565853	0.317471013	0	0	3.58044733	4.984152639	PSMA1	
recombinational repair (GO:0000725)	1/79	0.251319322	0.3182813	0	0	3.534366097	4.881068968	SFPQ	
negative regulation of NF-kappaB transcription factor activity (GO:0032088)	1/79	0.251319322	0.3182813	0	0	3.534366097	4.881068968	TMSB4X	
positive regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032436)	1/79	0.251319322	0.3182813	0	0	3.534366097	4.881068968	USP5	
positive regulation of ubiquitin-dependent protein catabolic process (GO:2000060)	1/79	0.251319322	0.3182813	0	0	3.534366097	4.881068968	USP5	
regulation of neuron differentiation (GO:0045664)	1/79	0.251319322	0.3182813	0	0	3.534366097	4.881068968	CPNE1	
negative regulation of signal transduction (GO:0009968)	2/267	0.254783473	0.322125232	0	0	2.090034547	2.857790391	YTHDF2;PALM	
positive regulation of cellular amide metabolic process (GO:0034250)	1/81	0.25679644	0.323580749	0	0	3.445659722	4.684276431	HNRNPD	
positive regulation of tumor necrosis factor superfamily cytokine production (GO:1903557)	1/81	0.25679644	0.323580749	0	0	3.445659722	4.684276431	HMGB1	
negative regulation of apoptotic process (GO:0043066)	3/485	0.260527491	0.327732237	0	0	1.728956728	2.325527874	SFPQ;HNRNPK;CFL1	
regulation of defense response (GO:0031347)	1/83	0.262234035	0.3282296	0	0	3.361280488	4.499134142	TMSB4X	
regulation of Notch signaling pathway (GO:0008593)	1/83	0.262234035	0.3282296	0	0	3.361280488	4.499134142	YTHDF2	
regulation of osteoblast differentiation (GO:0045667)	1/83	0.262234035	0.3282296	0	0	3.361280488	4.499134142	DDX5	
anaphase-promoting complex-dependent catabolic process (GO:0031145)	1/84	0.264938098	0.331062415	0	0	3.320615797	4.410638057	PSMA1	
"retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum (GO:0006890)"	1/85	0.267632386	0.333319937	0	0	3.280919312	4.324714046	ARCN1	
"Wnt signaling pathway, planar cell polarity pathway (GO:0060071)"	1/85	0.267632386	0.333319937	0	0	3.280919312	4.324714046	PSMA1	
negative regulation of cellular amide metabolic process (GO:0034249)	1/86	0.270316933	0.333894764	0	0	3.242156863	4.241260512	ILF3	
response to interleukin-1 (GO:0070555)	1/86	0.270316933	0.333894764	0	0	3.242156863	4.241260512	RBMX	
negative regulation of phosphorylation (GO:0042326)	1/86	0.270316933	0.333894764	0	0	3.242156863	4.241260512	HNRNPU	
positive regulation of proteasomal protein catabolic process (GO:1901800)	1/86	0.270316933	0.333894764	0	0	3.242156863	4.241260512	USP5	
regulation of interferon-gamma production (GO:0032649)	1/86	0.270316933	0.333894764	0	0	3.242156863	4.241260512	HMGB1	
negative regulation of angiogenesis (GO:0016525)	1/87	0.272991774	0.336093151	0	0	3.204295866	4.160180951	EPN1	
regulation of transcription from RNA polymerase II promoter in response to stress (GO:0043618)	1/87	0.272991774	0.336093151	0	0	3.204295866	4.160180951	PSMA1	
negative regulation of binding (GO:0051100)	1/88	0.275656944	0.338265302	0	0	3.167305236	4.081383649	CPNE1	
regulation of establishment of planar polarity (GO:0090175)	1/88	0.275656944	0.338265302	0	0	3.167305236	4.081383649	PSMA1	
SCF-dependent proteasomal ubiquitin-dependent protein catabolic process (GO:0031146)	1/89	0.278312476	0.340411514	0	0	3.131155303	4.004781392	PSMA1	
protein import (GO:0017038)	1/89	0.278312476	0.340411514	0	0	3.131155303	4.004781392	RAN	
positive regulation of autophagy (GO:0010508)	1/90	0.280958406	0.343089045	0	0	3.095817728	3.930291192	HMGB1	
toll-like receptor signaling pathway (GO:0002224)	1/91	0.283594767	0.345746218	0	0	3.061265432	3.85783405	HMGB1	
negative regulation of mitotic cell cycle phase transition (GO:1901991)	1/92	0.286221595	0.346804961	0	0	3.027472527	3.787334714	PSMA1	
retinoid metabolic process (GO:0001523)	1/92	0.286221595	0.346804961	0	0	3.027472527	3.787334714	AGRN	
regulation of peptidyl-tyrosine phosphorylation (GO:0050730)	1/92	0.286221595	0.346804961	0	0	3.027472527	3.787334714	CSPG4	
positive regulation of nucleic acid-templated transcription (GO:1903508)	3/511	0.286310354	0.346804961	0	0	1.638273341	2.048953903	ILF3;HNRNPD;HNRNPAB	
hemopoiesis (GO:0030097)	1/94	0.291446782	0.350763675	0	0	2.962066906	3.651925938	YTHDF2	
negative regulation of MAPK cascade (GO:0043409)	1/94	0.291446782	0.350763675	0	0	2.962066906	3.651925938	PEBP1	
interleukin-1-mediated signaling pathway (GO:0070498)	1/94	0.291446782	0.350763675	0	0	2.962066906	3.651925938	PSMA1	
regulation of kinase activity (GO:0043549)	1/94	0.291446782	0.350763675	0	0	2.962066906	3.651925938	HNRNPU	
regulation of cell cycle phase transition (GO:1901987)	1/95	0.29404521	0.353324724	0	0	2.930407801	3.586882881	PSMA1	
protein ubiquitination (GO:0016567)	3/525	0.30029261	0.360255192	0	0	1.59318555	1.91659889	USP5;PSMA1;UBE2G1	
response to UV (GO:0009411)	1/99	0.304345266	0.363954291	0	0	2.810232426	3.343031357	RUVBL2	
