DCX_YFP(-)_tp1_s.1	DCX_YFP(-)_tp1_s.2	DCX_YFP(-)_tp1_s.3	DCX_YFP(-)_tp2_s.1	DCX_YFP(-)_tp2_s.2	DCX_YFP(-)_tp2_s.3	DCX_YFP(-)_tp3_s.1	DCX_YFP(-)_tp3_s.2	DCX_YFP(-)_tp3_s.3	DCX_YFP(+)_tp2_s.1	DCX_YFP(+)_tp2_s.2	DCX_YFP(+)_tp3_s.1	DCX_YFP(+)_tp3_s.3	DCX_YFP(+)_tp1_s.1	DCX_YFP(+)_tp1_s.2	DCX_YFP(+)_tp1_s.3	SOX2_YFP(-)_tp1_s.1	SOX2_YFP(-)_tp1_s.2	SOX2_YFP(-)_tp1_s.3	SOX2_YFP(-)_tp2_s.1	SOX2_YFP(-)_tp2_s.2	SOX2_YFP(-)_tp2_s.3	SOX2_YFP(-)_tp3_s.1	SOX2_YFP(-)_tp3_s.2	SOX2_YFP(-)_tp3_s.3	SOX2_YFP(+)_tp1_s.1	SOX2_YFP(+)_tp1_s.2	SOX2_YFP(+)_tp1_s.3	SOX2_YFP(+)_tp2_s.1	SOX2_YFP(+)_tp2_s.2	SOX2_YFP(+)_tp2_s.3
ADD2	-2.681781	-4.296302	-2.466	-5.694029	-2.405711	-2.581913	-4.962705	-4.21645	-4.401737	0.6289161	-0.04954176	-1.81981	-3.124636	-1.056913	-1.808575	-1.355932	-5.626589	-4.650047	-4.428855	-3.437313	-5.563013	-2.460396	-6.205203	-5.793759	-4.700075	-3.21236	-3.330163	-3.704757	-1.274968	-2.117221	-2.061887
FUS	2.929942	2.341808	2.459813	1.726791	2.088083	1.080396	1.95219	1.375048	1.648621	1.897339	1.590298	2.206408	1.507674	2.950882	2.165844	1.801007	2.502502	2.954407	2.257778	2.35051	1.238823	1.82458	2.410731	3.500217	0.8837643	1.014654	3.055044	2.223557	3.112671	2.970078	2.002472
HMGCL	-3.179077	-3.545755	-2.789469	-3.120843	-3.139214	-4.839833	-3.543089	-4.119781	-2.28871	-3.727304	-3.104008	-3.628357	-2.8676	-2.790805	-3.329334	-5.219712	-3.321349	-3.230149	-2.40785	-2.295301	-3.278404	-2.702812	-1.679583	-1.958432	-1.876378	-2.491302	-2.862844	-2.141504	-4.026927	-3.3714	-3.678535
PSMC2	1.133734	0.6471831	1.318852	0.4481581	0.7759367	0.9336228	0.5072105	-0.1923718	0.565951	1.171385	0.6646661	0.9352831	-0.2343917	1.542994	1.027165	0.8072838	0.6526145	0.9254631	0.7167988	0.9729027	0.7628059	1.050739	1.495374	1.657224	1.309273	0.6763531	1.397778	0.8918865	1.231459	1.19896	0.7704457
ARL3	1.984891	1.704801	1.558803	0.4436649	1.827752	-0.2184897	1.23388	1.392672	1.229417	2.367217	2.405059	2.043396	1.326563	2.402464	1.779232	2.205109	1.22236	1.508345	0.7656852	1.52206	0.548342	0.7631598	-1.348324	-2.156944	-0.1052362	0.9010369	2.202923	1.567627	2.216528	1.833893	1.726501
ATP5C1	1.433619	1.380681	1.321571	1.304488	1.436505	0.6035753	2.111013	1.97019	1.898279	1.655495	1.482162	1.517581	1.445198	1.278537	1.715999	1.127579	2.040491	1.994709	1.793906	0.6592137	1.670111	1.819323	2.384041	2.498138	1.977633	1.532524	1.492638	1.458171	1.413992	1.633422	1.790245
RPL4	3.037155	2.775004	2.906767	2.941487	2.633838	2.464473	3.251984	3.277179	3.309789	2.445924	2.581326	2.70392	2.693955	2.5469	2.620628	2.322837	3.300705	2.82535	2.830968	2.845227	2.990912	2.671441	4.449237	3.848883	4.458713	2.592017	2.927975	2.632002	2.956599	2.943803	2.462376
NUDT1	-0.5133837	-1.420683	-1.657912	-0.7164024	-1.800977	-0.8901853	-1.464352	-0.08346456	-2.697858	-3.391345	-1.177649	-1.036545	-1.625508	-1.449657	-0.9618551	-1.227809	-1.078615	-1.321753	-0.7826326	-2.265316	-2.185015	-1.780643	-0.7344128	-0.8733126	0.3790409	-1.966759	-1.495587	-0.9384205	-0.8175825	-1.260877	-0.7071569
DLST	-0.9260473	-0.2650879	-0.5486702	-1.412635	-0.9863976	-1.506069	0.05328623	-0.8060642	0.001039818	-0.9515665	-0.9686381	-0.2540683	-0.4154437	-0.2625881	-0.4746052	-1.969108	-0.4457855	0.4598322	-0.2771078	-0.6313639	-1.388012	-1.021762	0.3299638	-1.454179	-1.145926	-1.368015	-0.7102177	-0.4413538	-0.6263919	-0.2067673	-0.06579842
SRP14	3.491024	3.648061	3.735627	3.273758	3.349841	3.773593	3.179228	3.16756	3.423111	2.931741	2.681743	3.24204	3.225845	3.148173	3.222457	3.513458	3.478559	3.39772	3.293837	3.394391	3.511805	3.048455	3.271533	3.684876	3.755694	3.190055	2.939941	3.39208	3.308392	3.327398	3.385656
TAGLN2	0.03814772	-1.586191	-0.7355281	-1.445571	-0.8194855	-1.936708	1.887709	1.208539	2.299485	-4.707816	-1.940714	0.7187095	-1.75242	-0.4502183	-1.224379	-1.977543	-1.563671	-0.2892828	-2.755682	-0.4291553	-0.4927833	-0.5396342	0.7296377	-2.481364	-0.6987265	-3.250884	-0.3794731	-1.141393	-1.048894	-0.6320592	-0.4289439
TALDO1	2.181369	2.063791	2.230197	2.177996	2.413377	0.9167843	1.990412	1.677413	1.95357	1.282508	1.767113	2.050359	1.547997	2.407276	2.415159	1.852054	1.828941	1.770082	1.918868	1.349237	1.106455	1.964779	1.518264	0.5133454	1.2281	1.746716	1.974636	1.986583	2.228626	2.425022	2.452266
ETFB	-0.3485963	0.2759818	-0.2041839	0.5533674	0.2784819	-0.1895373	0.5945132	0.6476941	0.3979248	-0.6114829	-0.2217965	-0.9166767	-0.06344208	0.03532286	0.493953	-1.078421	0.5503356	0.7998039	0.4766975	0.3621398	0.5601588	0.8279662	-1.873857	-3.014523	-2.129443	0.5086566	0.7003284	0.750237	0.5641068	0.4724394	0.5521535
RBMX	4.038651	4.221697	4.316209	4.330181	4.045291	3.965802	3.742233	3.491511	3.559657	3.503163	3.132979	3.45754	3.42992	3.887963	4.447021	3.631933	3.991366	3.908772	3.760549	3.757515	3.613122	3.729136	2.386895	2.385947	3.423615	3.548725	3.159874	4.264954	4.167197	4.01354	4.265932
ATP6V1A	0.1747556	-0.3619697	-0.8978969	-2.767676	-1.156213	-4.072239	-2.712908	-3.415622	-1.090613	1.651488	0.4776676	0.6668343	-1.776435	1.660443	-0.04473206	0.420965	-0.8244269	-0.2406305	-0.53894	-0.5159644	-1.811632	-0.7777985	-1.348032	-1.029902	-2.545333	-0.4850337	0.2337487	-0.2945417	-1.313549	-0.1713596	0.1838922
HSPA9	3.575174	3.711308	3.723781	3.586168	3.250958	2.628401	3.890847	3.685589	3.967216	2.992829	3.113732	3.569662	3.137632	3.152136	3.337458	2.589085	3.608903	3.721716	3.491904	3.552409	3.387558	3.747978	3.681041	2.971682	3.297428	4.089212	3.889212	3.985507	3.686263	3.800292	3.911271
EIF4A3	2.388597	2.28069	2.09776	1.879225	1.710181	0.510093	1.651654	1.520541	1.731579	0.6806763	-0.05226041	1.685445	1.110796	1.681249	2.071096	0.7207311	1.786123	2.133394	1.301802	0.6420606	1.290942	1.276983	0.8922735	0.3819029	1.269437	1.776394	2.195284	1.692371	2.070764	2.149881	2.198415
RPS19	2.796672	1.749778	2.919741	2.198285	2.107265	0.9434989	2.063651	2.109498	2.348908	1.055394	1.361398	2.208778	1.803039	2.062501	2.307277	1.492287	1.757057	2.102013	1.81939	2.041354	1.959358	1.209047	2.590129	0.1047034	2.504297	1.260803	1.624464	2.275256	2.146476	2.49877	1.561629
RPL3	2.598101	2.802271	2.238353	2.33203	1.785849	1.697046	2.988776	2.458751	2.558815	0.8736579	1.03469	1.511625	1.75858	1.336152	2.090538	0.9560418	2.816528	2.011256	1.128316	2.563017	2.024503	1.930513	2.17952	1.381144	3.108985	2.096584	2.054358	2.253066	2.179169	1.850569	1.878137
FEN1	0.9817039	1.273336	0.8205823	0.5655618	0.4663297	0.4541738	0.07258017	-0.6676812	-0.6642442	-0.5588989	-1.16843	-0.1682526	-0.456178	0.3188252	0.4526566	-0.05338383	0.07473053	-0.4752849	-1.135647	-0.5427881	-0.2069203	-0.3791446	-2.953467	-3.982662	-1.127607	-0.5839911	-0.2225794	0.2073469	0.8784662	0.675536	0.5815147
CCT6A	3.280587	3.242275	3.346636	2.974932	2.976586	2.285761	2.775559	2.799239	2.922861	3.055147	3.074767	3.270079	2.778662	3.935983	3.421548	3.332717	2.687375	3.5113	3.050045	3.321268	3.030198	3.151252	2.01719	1.468554	2.405309	2.878317	3.047928	2.826396	3.13413	3.242376	3.240654
RPL13A	1.082972	1.020741	0.4594201	0.5025281	0.1663226	-0.2095209	1.223847	1.152606	1.145865	0.6716734	0.7199137	0.6574363	1.01017	0.8751522	0.8217634	0.7737911	1.243477	0.5373217	0.5267959	1.37171	1.05315	0.8059256	-1.555667	-0.02325367	-1.404179	-0.7083205	0.7071282	0.1684345	0.1072966	-0.427303	-0.2344228
STAT3	-3.675083	-4.199612	-2.99081	-4.644915	-3.024612	-5.058032	-1.102325	-2.320055	-0.4841391	-4.944147	-1.79187	-1.936882	-2.233235	-5.231946	-2.571763	-4.161881	-1.296475	-1.688798	-1.959427	-2.945788	-5.015482	-1.828398	-2.742902	-4.075952	-2.680882	-4.065544	-2.588549	-3.314674	-3.063046	-3.665582	-2.597894
MDH2	4.280171	4.373379	4.456524	4.815082	4.691811	4.376249	4.485644	4.54838	4.948597	4.875181	4.895747	4.879414	4.421641	4.607738	4.826488	4.533597	4.575774	4.801659	4.848784	4.453745	4.411036	4.961856	5.874393	6.314532	6.037724	4.801401	4.601681	4.802972	4.316919	4.702797	4.721564
RFC3	-0.2280002	-1.840576	-1.899056	-2.893811	-2.158533	-3.655525	-1.892921	-3.910874	-3.802701	-3.347846	-4.757072	-3.052117	-4.030813	0.1782368	-1.749245	-2.614856	-2.548108	-0.510068	-4.387587	-2.955082	-3.260732	-4.285168	-2.0248	-6.180646	-1.070061	-2.941713	-0.6002226	-2.849599	-0.7912975	-0.227279	-1.079953
EIF2S3	0.7415755	1.111339	0.848282	0.0367273	0.243085	-1.076072	-1.525733	-0.4430023	0.3919678	-0.6761936	-0.04731825	0.6420273	-0.1895416	0.7395707	0.833777	-0.9178716	0.09811634	0.6365199	0.5593784	0.8343638	0.4841665	0.3094987	0.8520651	-0.772266	1.105557	-0.3348162	0.3650642	0.6208084	0.5128597	1.012404	0.2675189
CETN2	-0.9998571	-1.172801	-0.8789933	-2.052808	-0.9327874	-1.758719	-1.822171	-1.35388	-1.638963	-2.008457	-2.119095	-1.997123	-1.867504	-2.09239	-3.101997	-2.127986	-1.950253	-1.988309	-1.981627	-2.475116	-1.180331	-1.692779	-2.422476	-4.012244	-3.846656	-1.558964	-0.9829949	-1.168668	-1.185215	-0.8717246	-0.04530151
PRPH	-4.604782	-4.705618	-3.218027	-4.103324	-1.60142	-4.818368	0.4093682	-1.6087	-4.702379	-0.8833004	-0.4613047	1.403503	-1.918263	-0.2783353	-1.113957	0.03710864	-4.532633	-4.995743	-5.296861	-2.835712	-6.425828	-3.546361	-3.614641	-5.544547	-2.978739	-3.558235	-3.95733	-4.28371	-3.838928	-3.056127	-3.875252
BUD31	-0.1386188	-0.8451683	-0.8591529	-2.783888	-1.208594	-5.039131	-1.455359	-1.852702	-1.508727	-2.376072	-2.283044	-0.8518847	-2.069158	-1.25139	-1.064251	-0.9549668	-1.040703	-1.342797	-3.547406	-1.820505	-1.554778	-0.3537503	0.1513698	0.129783	-1.350368	-1.19266	-1.66067	-1.144184	-1.301866	-1.077354	-1.557743
GARS	1.316401	0.9366395	0.4286101	-0.7614391	0.4277006	-2.207768	0.4714191	0.2253129	0.8926138	-0.4998621	-0.6531619	0.4889595	-0.2082065	0.6014403	0.2823708	-0.8698304	1.381998	1.415679	0.8939666	0.4505858	0.866703	1.313798	2.638319	2.059499	1.491583	0.2506794	1.015923	0.4505019	0.5737455	1.08462	1.186583
EIF1	1.937944	0.7493185	-0.3306094	-1.184009	-0.2970181	-2.214431	1.406828	-0.08230738	1.066436	0.8672686	-1.305535	1.804668	0.9149458	1.427318	-0.3455184	2.421684	-1.63207	0.4565091	-2.549094	0.4449419	-1.794474	0.4421644	-0.8642378	-4.561301	-3.588706	0.3477037	0.8241287	-0.1027015	-0.1033533	0.615032	0.7591666
ACTR1B	-1.788571	-2.3204	-2.022027	-1.993121	-1.117635	-4.382731	-2.851671	-2.441773	-1.515473	0.5692714	-0.05099299	-1.052428	-2.938148	-0.5146763	-1.124562	-0.006776091	-1.630891	-0.02855972	-1.699028	-1.680045	-3.973742	-0.7463567	-5.546642	-4.040312	-4.906921	-1.747333	-0.693346	-1.460935	-1.720448	-1.672431	-1.262943
ECI1	0.5694755	-2.146658	0.2047212	-0.2016206	-0.5743188	0	-1.003509	0.6967726	-0.9066264	-1.133014	-4.169381	-0.2175454	-2.576039	-1.155188	-0.6150295	-3.793684	0.02810521	-0.1884125	-0.556976	-3.752756	-0.4180547	-0.2180682	-2.152065	-4.729889	-1.595532	-0.5161099	0.04842319	-0.2537725	-0.6771129	0.2749172	0.3700074
TMPO	3.0626	3.036901	3.112472	2.478353	3.035461	2.946257	2.723243	2.435031	2.659224	2.684479	2.150203	2.399335	2.343223	2.904061	3.096855	2.404994	3.096272	3.114343	2.61815	2.927013	2.623815	2.621553	3.603305	3.667507	3.020714	2.22312	2.245233	2.907473	2.851904	3.244093	3.178388
TMPO.1	0.7358745	0.2848474	0.4748884	1.274483	0.2943725	0.6730448	-0.3345681	0.6874712	-0.837751	0.2276162	-1.032678	-0.3815431	-0.5849464	-0.1060203	0.08855276	-0.4813773	0.6491199	0.4008828	0.3126706	0.6075747	0.1981179	0.1480247	0.216303	-1.01786	0.2566932	0.2679701	-1.20499	0.325574	0.2736355	-0.5199373	0.2113082
SKIV2L2	-0.2771342	-0.9628235	-0.1804322	-2.108126	-1.834542	-1.498583	-1.097142	-1.962206	-0.6104063	-0.4024252	-2.408644	-3.49623	-1.083998	-2.574118	-0.3107398	-1.778888	-0.6654095	-0.8541473	0.1917019	-0.5442362	-2.883605	-0.2165816	-0.395763	-1.873887	0.2144276	-0.4229383	-0.4366025	-0.07581443	0.2136517	-0.5476835	-0.4355347
CASP3	-1.212436	0.4767826	-1.764418	-1.13038	-2.440115	0.4523124	-1.810149	-0.3486224	-3.16889	-1.039492	-1.264551	-1.044301	-0.9384525	-0.292254	-1.645097	-2.304715	0.3309938	-3.463824	-2.881361	-1.343884	-3.772087	-2.181252	-5.292493	-5.153926	-2.426042	-2.60585	-0.9202298	-1.769254	-1.902618	-1.518608	-1.954186
RPS27	-1.073792	-1.207985	-0.4888617	-2.202578	-0.4930739	-0.6277656	-0.389685	-0.1645983	-0.2264817	-1.252533	-2.3352	-0.4128036	-0.09895708	-0.8604047	-1.238632	-2.485944	-0.2042425	-0.1606477	-0.0645555	-1.069235	-0.5999067	-0.3118743	-3.829116	-2.531075	-1.201494	-1.075365	-0.612307	-0.6886441	-2.370115	-0.3061241	-0.3944642
LRPPRC	1.735092	1.38897	0.7965513	-0.739125	0.158305	-2.485816	0.8937364	0.3351128	1.22083	-0.02057736	-0.6605387	1.134344	-0.3310495	0.5709266	1.499543	0.4665351	1.22445	1.247398	0.4946304	0.2638584	0.9475006	0.3680746	2.227391	1.141473	1.501095	-0.3021007	1.359213	1.389825	1.324515	1.535049	2.152741
PRCP	-1.561409	-1.806751	0.4389099	3.820749	-0.8075092	-4.481859	-0.09053463	0.4814217	2.191055	-3.556297	-2.870057	1.249327	-0.4112914	-3.37701	0.421376	-2.540889	-1.919727	-1.005691	-2.512268	-2.424053	4.217236	-2.113987	-0.83603	1.599386	3.16741	0.7264913	-0.5045375	3.279819	2.197417	-0.5908312	0.3227212
PAFAH1B1	0.898821	1.21468	1.403375	0.8367263	1.20131	0.3522375	0.9629563	1.000932	0.9532038	2.036307	1.838993	1.372151	1.2215	1.556506	1.815819	1.058888	0.9574714	1.135052	1.045752	1.147605	0.74369	1.194442	0.7096946	-1.391438	-0.001544774	0.8635258	1.309816	1.730296	1.255002	1.477947	1.372772
MSH2	1.778011	2.144107	2.097808	0.8541039	1.678604	0.3143135	0.5425053	-0.1259724	1.153295	-0.4863291	-0.2292718	0.4974221	0.6387155	0.7438623	1.333689	0.5848413	1.152833	0.9301938	0.6328839	1.083101	-0.8975299	0.09735632	-0.1913811	-0.9576777	-0.4069965	1.705503	1.537965	1.556238	2.357516	2.076233	1.950211
GPD2	-2.812597	-2.608954	-2.738573	-1.390382	-1.112481	-2.718423	-3.663745	-4.338614	-2.905866	-4.218878	-4.825384	-4.273296	-2.218279	-3.83085	-2.351538	-4.06643	-3.301553	-1.21019	-2.089227	-3.789718	-3.920177	-3.005258	-2.641864	-1.444081	-5.190872	-2.322235	-0.5490479	-0.4799693	-2.534421	-2.146462	-2.791145
RANBP1	2.579597	1.95896	1.994675	0.4535119	1.91285	0.9196587	1.6257	1.77288	1.733278	0.9222518	0.8725659	1.577029	0.1332543	1.286261	1.972683	0.3915561	2.131227	1.82988	1.552147	1.389498	0.4897623	1.961099	1.28082	0.0859968	-3.184016	1.033992	1.93204	2.476759	2.683395	2.427823	2.308097
NAMPT	-0.2997964	-0.01423985	-0.8029721	-1.001731	-1.260675	-1.356177	-2.34804	-0.9513209	-1.289792	-5.60924	0.02408791	-0.4754331	-1.372717	0.0675849	-0.8241195	-0.4514968	-2.489705	-1.050079	-2.227423	-0.1834632	-1.837307	-1.037631	-2.161293	-4.848519	-1.722124	-0.9252961	-0.4089557	-0.9911801	-0.4423958	-0.6206017	-0.7738598
PSMC4	2.117756	2.038368	2.337747	1.511577	1.727012	1.084181	1.844023	1.722828	1.878231	1.326125	0.8494376	1.784876	1.242588	2.08898	2.071308	1.732906	1.661507	1.672678	1.685487	1.542906	1.421695	1.792415	0.8159801	1.213437	0.2361518	1.274287	1.623496	2.135249	1.867414	2.278688	2.106679
VDAC2	3.109289	3.188719	3.015878	2.567666	2.580997	1.422903	3.161676	3.199965	3.186596	3.485396	3.288503	3.164619	2.898414	3.381052	3.501368	2.724486	3.404795	3.385134	2.943779	3.133333	2.782245	2.797027	2.648343	1.876299	3.461334	2.223197	2.706111	3.314652	2.833982	3.135629	3.007099
CBX5	2.745748	2.327581	2.671258	2.298719	2.011732	1.948245	1.823276	1.821836	2.135817	1.653622	1.032068	2.170073	1.771797	2.329181	2.294638	1.467691	2.430516	2.569975	2.533534	2.229531	1.921815	2.381642	0.3379127	-0.1286405	0.203894	2.485413	2.743073	2.763433	2.71762	2.868095	2.749237
USP5	2.203723	1.843452	2.147361	1.269629	1.660526	0.432449	1.427675	1.443629	2.064406	1.626383	1.691532	1.750943	0.8508872	2.345458	1.972297	1.604996	1.804376	2.119854	1.663679	1.347696	0.8866491	1.821476	2.336019	2.143933	1.657542	1.534237	2.229789	1.471821	1.900076	2.299494	2.247479
RANGAP1	0.553273	-0.319537	-0.4618802	-0.04378429	-0.5986533	-1.779823	-0.1240741	-0.2948655	0.06285267	-1.630479	-1.156098	-1.441092	-1.256765	-0.8112858	-0.1013075	-1.297605	0.3647842	-0.112111	0.1100135	-2.049218	-0.925372	-1.194361	-0.08549801	0.5239865	-0.7886708	-0.4628421	0.06901869	-0.6167887	0.4608921	0.8686696	0.2123267
CRK	0.02237429	-0.06671107	0.472184	-1.395658	-0.08587268	-1.181659	-0.6930815	-1.058946	-0.5641202	-1.168368	-0.624347	0.09224521	-0.996044	-0.04340103	-0.4724411	-2.084089	-0.8634796	-0.1147358	-0.05848307	-0.6276845	-1.174435	-0.3725115	-1.61184	-3.580339	-6.074012	-1.325777	-0.113381	-0.2831916	0.2013286	-0.5235518	-0.1567373
CRKL	1.426599	1.560926	1.491536	0.8543605	1.342362	1.099107	1.201345	1.066382	1.365955	1.469888	0.6344628	1.198969	0.9053476	1.70129	1.018286	0.9844124	1.291529	1.013411	1.349583	1.164909	0.9629679	1.326948	-0.4824727	-1.128638	-4.135343	1.181665	1.343269	1.451466	1.548623	1.65555	1.624931
RPS10	2.025266	3.165015	2.107334	2.368899	2.463315	1.408657	3.122775	2.207451	3.257781	2.260772	1.746091	2.480305	1.471864	2.339919	2.39147	2.306574	3.258272	3.056216	2.821899	2.782636	3.191218	2.940386	4.559045	3.68939	4.260546	2.687447	2.285553	2.762329	2.754442	2.858161	2.983544
MAP1B	5.2851	5.431807	5.425076	4.852949	5.306757	4.598306	4.211006	3.949408	4.374776	6.382115	6.278433	5.583491	4.860603	5.68642	5.757193	5.282242	3.234516	3.527415	3.622553	5.196235	4.771875	4.771942	3.355587	3.156438	4.138912	4.065185	3.907797	4.761312	5.513912	5.601595	5.382306
IQGAP1	-0.04481723	0.4945328	0.3536216	-2.023985	0.3048181	-4.390772	-0.008088231	0.3816472	1.549512	-1.589486	-0.1240184	0.7037675	0.1295072	-1.847452	-1.854115	-0.5584222	0.5140772	0.2073206	-0.244752	0.6313567	1.034492	0.5751761	1.896871	1.544949	0.2608301	-1.333237	-2.299427	-0.16059	0.2197141	0.6067131	0.1876874
STT3A	-1.824587	-4.809706	-4.054641	-2.594802	-3.50617	-4.56152	-1.669637	-3.08193	-0.5345067	0.1936656	0.6050451	-3.891002	-3.052467	-1.020635	-4.767782	0.9422379	-1.64569	1.568694	-1.821144	-2.043336	-4.415767	-2.388624	-2.324125	-4.207173	-4.286151	-4.561968	-0.450697	-2.149386	-3.64499	-2.705929	-1.90005
CAPZA2	1.634939	1.659108	1.493857	1.832719	1.683361	0.9723923	1.676144	2.04441	2.010677	2.067549	1.352985	1.766183	1.697108	0.9904605	1.758548	1.352515	1.545626	1.425685	0.4771827	1.828198	1.129343	1.686235	0.4798796	0.4876432	0.8323826	1.055227	1.274715	1.6182	1.941176	1.865536	1.64721
QARS	1.212926	0.8701257	1.034394	0.402189	-0.5422906	-1.255502	0.1881226	0.09703276	0.9272882	-1.125763	-0.7810377	-0.4072495	-0.8983752	0.2176959	1.185889	-0.8955494	1.29283	0.3549234	-0.8541301	-0.3179212	-1.723724	0.7976435	0.6216781	-0.3751	1.444628	0.1000829	0.3395728	0.858028	0.9892403	1.160048	1.173944
UQCRFS1	-0.9068769	-0.5715513	-1.968192	-1.348997	-0.5101754	-2.031581	0.1237719	0.21039	-0.1074326	-4.735574	-2.650938	-1.813914	-0.6884803	-1.67307	-0.740087	-3.184456	-0.1225379	-1.728126	-2.776579	-0.3311822	-1.398068	-1.112394	0.7423279	-2.409674	0.3170699	-0.1128431	-0.9398984	-0.02398989	-0.5130247	-0.2460875	-0.9036859
ATP5O	1.790457	1.726066	1.799648	2.152486	1.785968	1.709359	2.010642	1.909426	2.337423	2.421515	2.439055	2.431776	2.17955	2.378513	2.018891	2.005181	2.109904	2.360941	2.091596	2.245151	2.092631	2.375561	2.022211	1.363621	1.498049	2.581695	2.284285	2.242185	1.834126	2.270019	2.072029
PREP	0.5599784	0.1964889	0.1963374	-1.355219	0.02520736	-4.362835	0.01949064	-1.1197	-0.6686233	-0.01147899	0.116091	-0.1379987	-0.7401719	0.5658656	0.6033565	-0.2633369	1.392863	1.698069	1.730305	0.8032922	0.4255633	1.312857	2.062531	0.8552145	1.188882	-0.05289928	0.8183214	0.6024762	-0.006506085	0.5193059	0.5039674
SOX2	-1.384794	-1.288049	-1.000769	-1.001592	-0.8639954	-1.099784	-2.668826	-2.750879	-2.680697	-2.966894	-2.567145	-2.723564	-2.477854	-2.450623	-5.146585	-2.985845	-4.851578	-4.250406	-3.727096	-4.333819	-3.81851	-3.126658	-3.465647	-5.286857	-5.191806	-1.719779	-1.299762	-0.8199583	-0.8548015	-1.023743	-0.9108099
ARCN1	0.6426352	0.7957822	0.3237188	0.03120191	-0.1175776	-0.7535648	0.6615826	0.4556055	1.052982	-0.3281533	-0.463321	0.3121423	0.57761	0.7584125	0.5358055	0.2468262	0.5473771	0.4966723	0.5402744	0.09772102	0.3991028	0.541506	0.61973	-0.5591526	0.2027831	0.1159957	0.269275	0.3537431	0.6501468	0.4456729	0.06721172
LSS	0.6733122	0.9978352	0.4644306	-0.07235079	0.3534272	-1.957125	-0.5404249	-0.5113572	-0.2307764	-0.01541965	-0.3408662	-1.795495	-1.157014	0.2522061	0.7315473	-0.8160935	0.1974192	0.7372285	-0.240598	0.6431388	-0.4926025	0.1565822	1.222978	-2.201708	0.5547546	-0.5293314	-0.4406825	0.2399729	0.8861008	0.1375944	0.8989425
PCP4	-4.318871	-3.972272	-2.996698	-3.163063	-3.461215	-2.262444	-1.73058	-2.145592	-2.237196	-3.571361	-3.747505	-3.412519	-2.72777	-3.292486	-2.331203	-3.843244	-3.575131	-4.434737	-4.133617	-3.251923	-4.01055	-3.360003	-4.040023	-4.697538	-4.858723	-4.211769	-3.12028	-4.092453	-3.9374	-3.371113	-2.804081
GSS	-0.5424212	-0.8034662	-1.902854	-0.8653369	-1.03296	-2.250724	-0.5671439	-2.407418	-2.047371	-1.510085	-1.469254	-1.870415	-2.155868	-2.002756	-2.524662	-1.897866	-0.881982	-1.148379	-1.125999	-1.798808	-1.689621	-0.7296774	-1.207111	1.782132	-4.706804	-1.302572	-0.1548098	-1.515277	-0.9864926	-1.426835	-0.7900064
CCT5	2.959916	2.935907	2.953076	2.48406	2.996926	2.794113	2.504052	2.601848	3.055262	3.353813	3.429129	3.263157	2.7681	3.849558	3.007617	3.392506	2.69762	3.207297	3.156816	3.31566	3.142198	3.557511	3.688358	3.338212	3.576867	2.926296	3.101091	2.886345	2.82718	3.328759	3.268958
NES	5.166006	5.296329	5.123508	4.610773	4.618583	4.167185	4.909822	4.738081	4.468223	3.37542	3.651347	4.325655	3.799986	2.099716	3.524514	2.29695	3.061979	2.866483	2.760477	3.760454	3.938655	3.55871	2.033687	0.6362129	1.842056	4.988072	5.015892	4.900603	5.636021	5.236292	5.410286
HSPA13	-1.167858	-2.126323	-1.705748	-2.825132	-2.449557	-4.932795	-1.283832	-1.5849	-1.899696	-1.292148	-1.677151	-1.359447	-1.377536	-1.439998	-1.502033	-1.555117	-2.08038	-1.361549	-1.908817	-1.759198	-0.6794298	-1.339379	-3.009428	-5.110333	-3.758339	-0.8954089	-1.456987	-2.188209	-2.958674	-1.536382	-1.392885
IDH2	3.927735	3.828673	3.885103	4.216128	4.206509	3.674731	4.235539	4.104498	4.144544	4.523025	4.208776	4.743876	3.784615	4.224689	4.2219	3.791358	4.305725	4.287802	4.288177	4.064695	3.932365	4.300906	5.011799	4.060287	4.621105	4.348277	3.992631	4.030788	4.012298	4.117479	4.143384
MARCKSL1	0.07510376	0.2242471	0.5202106	-0.6510097	-0.9120673	-3.924444	-0.3868782	-0.6226932	-0.8288624	-0.4063627	-0.9094031	-1.160151	-1.050312	-0.2567834	0.7756786	-2.34191	0.1548555	-0.5327448	-0.230448	-0.1849239	-0.32907	-0.6227398	-4.350693	-2.659326	-4.279103	-0.4562546	-1.307758	0.7149266	0.529157	0.1031761	0.2641373
ALDH9A1	-0.288157	0.2289765	0.2038895	0.02832302	0.4080531	-0.9535243	2.117788	1.938344	1.311104	-2.478962	-1.670639	0.4591621	0.4088847	-0.7396411	-1.436069	-2.075233	-0.07267549	-0.6115643	-0.5704992	-0.6082467	0.2089627	-0.3653187	-0.03111492	-5.859097	-2.963947	0.1340684	-0.1213115	0.3915416	0.3301962	-0.1289951	0.2750834
RPL34	-0.5041678	0.188205	-0.07313269	-0.3849984	-1.214054	-0.3602365	1.389793	0.5223194	-0.4742908	-0.7138296	-0.5263817	-0.8538237	0.4355721	-1.276452	-0.4685909	0.1751446	0.4613397	-2.341793	0.320924	-0.1393207	-1.12877	-0.8608475	-2.208808	-1.435912	0.08951533	-4.125934	-2.376748	-0.3384341	-1.755365	-3.39379	-0.819926
