"protein_name"	"gene"
"Cytoplasmic aconitate hydratase"	"ACO1"
"Voltage-dependent anion-selective channel protein 1"	"VDAC1"
"Catechol O-methyltransferase"	"COMT"
"Methylmalonyl-CoA mutase, mitochondrial"	"MUT"
"Oxysterol-binding protein 1"	"OSBP"
"Trifunctional purine biosynthetic protein adenosine-3;Phosphoribosylamine--glycine ligase;Phosphoribosylformylglycinamidine cyclo-ligase;Phosphoribosylglycinamide formyltransferase"	"GART"
"Multifunctional protein ADE2;Phosphoribosylaminoimidazole-succinocarboxamide synthase;Phosphoribosylaminoimidazole carboxylase"	"PAICS"
"Non-specific lipid-transfer protein"	"SCP2"
"Ubiquitin-like modifier-activating enzyme 1"	"UBA1"
"Heterogeneous nuclear ribonucleoproteins A2/B1"	"HNRNPA2B1"
"Splicing factor, proline- and glutamine-rich"	"SFPQ"
"Tubulin gamma-2 chain;Tubulin gamma-1 chain;Tubulin gamma chain"	"TUBG2"
"Peptidyl-prolyl cis-trans isomerase B"	"PPIB"
"Glycine dehydrogenase (decarboxylating), mitochondrial"	"GLDC"
"Tryptophan--tRNA ligase, cytoplasmic;T1-TrpRS;T2-TrpRS"	"WARS"
"40S ribosomal protein S3"	"RPS3"
"Adenosylhomocysteinase"	"AHCY"
"Cofilin-1"	"CFL1"
"Thymidylate kinase"	"DTYMK"
"Ribonucleoside-diphosphate reductase large subunit"	"RRM1"
"Elongation factor 1-beta"	"EEF1B2"
"ATP synthase F(0) complex subunit B1, mitochondrial"	"ATP5F1"
"Low molecular weight phosphotyrosine protein phosphatase"	"ACP1"
"Acetyl-CoA acetyltransferase, mitochondrial"	"ACAT1"
"DNA-directed RNA polymerase II subunit RPB1"	"POLR2A"
"DNA replication licensing factor MCM3"	"MCM3"
"3-mercaptopyruvate sulfurtransferase;Sulfurtransferase"	"MPST"
"40S ribosomal protein S12"	"RPS12"
"DnaJ homolog subfamily B member 1"	"DNAJB1"
"ATP synthase subunit alpha, mitochondrial"	"ATP5A1"
"Proteasome subunit alpha type-1;Proteasome subunit alpha type"	"PSMA1"
"Proteasome subunit alpha type-3"	"PSMA3"
"Moesin"	"MSN"
"Probable ATP-dependent RNA helicase DDX6"	"DDX6"
"DNA (cytosine-5)-methyltransferase 1"	"DNMT1"
"Splicing factor U2AF 65 kDa subunit"	"U2AF2"
"60S ribosomal protein L13"	"RPL13"
"High mobility group protein B2"	"HMGB2"
"Threonine--tRNA ligase, cytoplasmic"	"TARS"
"Valine--tRNA ligase"	"VARS"
"Elongation factor 1-gamma"	"EEF1G"
"Adenylate kinase 4, mitochondrial"	"AK4"
"14-3-3 protein theta"	"YWHAQ"
"60S ribosomal protein L10"	"RPL10"
"Replication protein A 70 kDa DNA-binding subunit;Replication protein A 70 kDa DNA-binding subunit, N-terminally processed"	"RPA1"
"DNA-(apurinic or apyrimidinic site) lyase;DNA-(apurinic or apyrimidinic site) lyase, mitochondrial"	"APEX1"
"Calreticulin"	"CALR"
"Calnexin"	"CANX"
"Proteasome subunit alpha type-5"	"PSMA5"
"Proteasome subunit beta type-4"	"PSMB4"
"Proteasome subunit beta type-6;Proteasome subunit beta type"	"PSMB6"
"Proteasome subunit beta type-5"	"PSMB5"
"Glutathione S-transferase Mu 2"	"GSTM2"
"ATP-binding cassette sub-family D member 3"	"ABCD3"
"Mitogen-activated protein kinase 1"	"MAPK1"
"Granulins;Acrogranin;Paragranulin;Granulin-1;Granulin-2;Granulin-3;Granulin-4;Granulin-5;Granulin-6;Granulin-7"	"GRN"
"Cytosol aminopeptidase"	"LAP3"
"Cellular retinoic acid-binding protein 2"	"CRABP2"
"Transketolase"	"TKT"
"Elongation factor 1-delta"	"EEF1D"
"Cellular retinoic acid-binding protein 1"	"CRABP1"
"Myristoylated alanine-rich C-kinase substrate"	"MARCKS"
"Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial"	"ALDH4A1"
"Endoplasmic reticulum resident protein 29"	"ERP29"
"Peroxiredoxin-6"	"PRDX6"
"Peroxiredoxin-5, mitochondrial"	"PRDX5"
"D-dopachrome decarboxylase;D-dopachrome decarboxylase-like protein"	"DDT"
"Thioredoxin-dependent peroxide reductase, mitochondrial"	"PRDX3"
"ATP synthase subunit delta, mitochondrial"	"ATP5D"
"60S ribosomal protein L12"	"RPL12"
"Enoyl-CoA hydratase, mitochondrial"	"ECHS1"
"UMP-CMP kinase"	"CMPK1"
"Phosphatidylethanolamine-binding protein 1;Hippocampal cholinergic neurostimulating peptide"	"PEBP1"
"Protein disulfide-isomerase A3"	"PDIA3.1"
"Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform"	"PPP2R1A"
"Adenylosuccinate synthetase isozyme 2"	"ADSS"
"Alpha-2-macroglobulin receptor-associated protein"	"LRPAP1"
"Aldehyde dehydrogenase X, mitochondrial"	"ALDH1B1"
"Rab GDP dissociation inhibitor alpha"	"GDI1"
"S-adenosylmethionine synthase isoform type-2"	"MAT2A"
"Carbamoyl-phosphate synthase [ammonia], mitochondrial"	"CPS1"
"DnaJ homolog subfamily A member 1"	"DNAJA1"
"RAC-alpha serine/threonine-protein kinase"	"AKT1"
"Cytochrome b-c1 complex subunit 1, mitochondrial"	"UQCRC1"
"3-hydroxyisobutyrate dehydrogenase, mitochondrial"	"HIBADH"
"Bifunctional purine biosynthesis protein PURH;Phosphoribosylaminoimidazolecarboxamide formyltransferase;IMP cyclohydrolase"	"ATIC"
"Heterogeneous nuclear ribonucleoprotein H3"	"HNRNPH3"
"14-3-3 protein beta/alpha;14-3-3 protein beta/alpha, N-terminally processed"	"YWHAB"
"Stress-induced-phosphoprotein 1"	"STIP1"
"Protein S100-A11;Protein S100-A11, N-terminally processed"	"S100A11"
"Peroxiredoxin-2"	"PRDX2"
"Deoxycytidylate deaminase"	"DCTD"
"Pyrroline-5-carboxylate reductase 1, mitochondrial;Pyrroline-5-carboxylate reductase"	"PYCR1"
"60S ribosomal protein L9"	"RPL9"
"Kinesin-1 heavy chain"	"KIF5B"
"DNA replication licensing factor MCM5;DNA helicase"	"MCM5"
"DNA replication licensing factor MCM7"	"MCM7"
"Serine hydroxymethyltransferase, mitochondrial;Serine hydroxymethyltransferase"	"SHMT2"
"Heat shock 70 kDa protein 4"	"HSPA4"
"Prohibitin"	"PHB"
"Replication protein A 14 kDa subunit"	"RPA3"
"Replication factor C subunit 4"	"RFC4"
"Replication factor C subunit 2"	"RFC2"
"60S ribosomal protein L22"	"RPL22"
"General transcription factor IIF subunit 1"	"GTF2F1"
"Myosin-9"	"MYH9"
"Myosin-10"	"MYH10"
"Coatomer subunit beta"	"COPB2"
"Beta-adducin"	"ADD2"
"RNA-binding protein FUS"	"FUS"
"Hydroxymethylglutaryl-CoA lyase, mitochondrial"	"HMGCL"
"26S protease regulatory subunit 7"	"PSMC2"
"ADP-ribosylation factor-like protein 3"	"ARL3"
"ATP synthase subunit gamma, mitochondrial"	"ATP5C1"
"60S ribosomal protein L4"	"RPL4"
"7,8-dihydro-8-oxoguanine triphosphatase"	"NUDT1"
"Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial"	"DLST"
"Signal recognition particle 14 kDa protein"	"SRP14"
"Transgelin-2"	"TAGLN2"
"Transaldolase"	"TALDO1"
"Electron transfer flavoprotein subunit beta"	"ETFB"
"RNA-binding motif protein, X chromosome;RNA-binding motif protein, X chromosome, N-terminally processed;RNA binding motif protein, X-linked-like-1"	"RBMX"
"V-type proton ATPase catalytic subunit A"	"ATP6V1A"
"Stress-70 protein, mitochondrial"	"HSPA9"
"Eukaryotic initiation factor 4A-III;Eukaryotic initiation factor 4A-III, N-terminally processed"	"EIF4A3"
"40S ribosomal protein S19"	"RPS19"
"60S ribosomal protein L3"	"RPL3"
"Flap endonuclease 1"	"FEN1"
"T-complex protein 1 subunit zeta"	"CCT6A"
"60S ribosomal protein L13a"	"RPL13A"
"Signal transducer and activator of transcription 3;Signal transducer and activator of transcription"	"STAT3"
"Malate dehydrogenase, mitochondrial;Malate dehydrogenase"	"MDH2"
"Replication factor C subunit 3"	"RFC3"
"Eukaryotic translation initiation factor 2 subunit 3;Putative eukaryotic translation initiation factor 2 subunit 3-like protein"	"EIF2S3"
"Centrin-2"	"CETN2"
"Peripherin"	"PRPH"
"Protein BUD31 homolog"	"BUD31"
"Glycine--tRNA ligase"	"GARS"
"Eukaryotic translation initiation factor 1"	"EIF1"
"Beta-centractin"	"ACTR1B"
"Enoyl-CoA delta isomerase 1, mitochondrial"	"ECI1"
"Lamina-associated polypeptide 2, isoform alpha;Thymopoietin;Thymopentin"	"TMPO"
"Lamina-associated polypeptide 2, isoforms beta/gamma;Thymopoietin;Thymopentin"	"TMPO.1"
"Superkiller viralicidic activity 2-like 2"	"SKIV2L2"
"Caspase-3;Caspase-3 subunit p17;Caspase-3 subunit p12"	"CASP3"
"40S ribosomal protein S27"	"RPS27"
"Leucine-rich PPR motif-containing protein, mitochondrial"	"LRPPRC"
"Lysosomal Pro-X carboxypeptidase"	"PRCP"
"Platelet-activating factor acetylhydrolase IB subunit alpha"	"PAFAH1B1"
"DNA mismatch repair protein Msh2"	"MSH2"
"Glycerol-3-phosphate dehydrogenase, mitochondrial;Glycerol-3-phosphate dehydrogenase"	"GPD2"
"Ran-specific GTPase-activating protein"	"RANBP1"
"Nicotinamide phosphoribosyltransferase"	"NAMPT"
"26S protease regulatory subunit 6B"	"PSMC4"
"Voltage-dependent anion-selective channel protein 2"	"VDAC2"
"Chromobox protein homolog 5"	"CBX5"
"Ubiquitin carboxyl-terminal hydrolase 5"	"USP5"
"Ran GTPase-activating protein 1"	"RANGAP1"
"Adapter molecule crk"	"CRK"
"Crk-like protein"	"CRKL"
"40S ribosomal protein S10"	"RPS10"
"Microtubule-associated protein 1B;MAP1B heavy chain;MAP1 light chain LC1"	"MAP1B"
"Ras GTPase-activating-like protein IQGAP1"	"IQGAP1"
"Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A"	"STT3A"
"F-actin-capping protein subunit alpha-2"	"CAPZA2"
"Glutamine--tRNA ligase"	"QARS"
"Cytochrome b-c1 complex subunit Rieske, mitochondrial;Cytochrome b-c1 complex subunit 11;Putative cytochrome b-c1 complex subunit Rieske-like protein 1"	"UQCRFS1"
"ATP synthase subunit O, mitochondrial"	"ATP5O"
"Prolyl endopeptidase"	"PREP"
"Transcription factor SOX-2"	"SOX2"
"Coatomer subunit delta"	"ARCN1"
"Lanosterol synthase"	"LSS"
"Purkinje cell protein 4"	"PCP4"
"Glutathione synthetase"	"GSS"
"T-complex protein 1 subunit epsilon"	"CCT5"
"Nestin"	"NES"
"Heat shock 70 kDa protein 13"	"HSPA13"
"Isocitrate dehydrogenase [NADP], mitochondrial"	"IDH2"
"MARCKS-related protein"	"MARCKSL1"
"4-trimethylaminobutyraldehyde dehydrogenase"	"ALDH9A1"
"60S ribosomal protein L34"	"RPL34"
"Protein ERGIC-53"	"LMAN1"
"Nuclear autoantigenic sperm protein"	"NASP"
"Fatty acid synthase;[Acyl-carrier-protein] S-acetyltransferase;[Acyl-carrier-protein] S-malonyltransferase;3-oxoacyl-[acyl-carrier-protein] synthase;3-oxoacyl-[acyl-carrier-protein] reductase;3-hydroxyacyl-[acyl-carrier-protein] dehydratase;Enoyl-[acyl-carrier-protein] reductase;Oleoyl-[acyl-carrier-protein] hydrolase"	"FASN"
"T-complex protein 1 subunit gamma"	"CCT3"
"Elongation factor Tu, mitochondrial"	"TUFM"
"Signal recognition particle 9 kDa protein"	"SRP9"
"Alanine--tRNA ligase, cytoplasmic"	"AARS"
"Serine--tRNA ligase, cytoplasmic"	"SARS"
"Proteasome subunit beta type-2"	"PSMB2"
"DNA replication licensing factor MCM2"	"MCM2"
"Very long-chain specific acyl-CoA dehydrogenase, mitochondrial"	"ACADVL"
"Transmembrane emp24 domain-containing protein 10"	"TMED10"
"RNA-binding protein 25"	"RBM25"
"Histidine triad nucleotide-binding protein 1"	"HINT1"
"E3 SUMO-protein ligase RanBP2"	"RANBP2"
"Selenide, water dikinase 1"	"SEPHS1"
"GMP synthase [glutamine-hydrolyzing]"	"GMPS"
"Rab GDP dissociation inhibitor beta"	"GDI2"
"Emerin"	"EMD"
"Serpin B9"	"SERPINB9"
"Serpin H1"	"SERPINH1"
"Hsc70-interacting protein;Putative protein FAM10A5;Putative protein FAM10A4"	"ST13"
"Dynamin-2"	"DNM2"
"Bis(5-nucleosyl)-tetraphosphatase [asymmetrical]"	"NUDT2"
"T-complex protein 1 subunit theta"	"CCT8"
"T-complex protein 1 subunit delta"	"CCT4"
"Annexin A11"	"ANXA11"
"Fragile X mental retardation syndrome-related protein 1"	"FXR1"
"Ras-related protein Rab-5C"	"RAB5C"
"Ras-related protein Rab-7a"	"RAB7A"
"Galactokinase"	"GALK1"
"Translocon-associated protein subunit delta"	"SSR4"
"B-cell receptor-associated protein 31"	"BCAP31"
"26S proteasome non-ATPase regulatory subunit 7"	"PSMD7"
"Neuronal membrane glycoprotein M6-a"	"GPM6A"
"Hepatoma-derived growth factor"	"HDGF"
"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8"	"NDUFA8"
"Heterogeneous nuclear ribonucleoprotein A3"	"HNRNPA3"
"6-phosphogluconate dehydrogenase, decarboxylating"	"PGD"
"Heterogeneous nuclear ribonucleoprotein M"	"HNRNPM.1"
"Importin subunit alpha-1"	"KPNA2"
"Nuclear cap-binding protein subunit 2"	"NCBP2"
"Rho GDP-dissociation inhibitor 1"	"ARHGDIA"
"Heterogeneous nuclear ribonucleoprotein F;Heterogeneous nuclear ribonucleoprotein F, N-terminally processed"	"HNRNPF"
"DNA mismatch repair protein Msh6"	"MSH6"
"Ribonuclease UK114"	"HRSP12"
"F-actin-capping protein subunit alpha-1"	"CAPZA1"
"Cysteine-rich protein 2"	"CRIP2"
"Biliverdin reductase A"	"BLVRA"
"Tricarboxylate transport protein, mitochondrial"	"SLC25A1"
"ATP-citrate synthase"	"ACLY"
"Succinyl-CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial"	"SUCLG1"
"Diphosphomevalonate decarboxylase"	"MVD"
"Coatomer subunit beta"	"COPB1"
"Coatomer subunit alpha;Xenin;Proxenin"	"COPA"
"Dipeptidyl peptidase 1;Dipeptidyl peptidase 1 exclusion domain chain;Dipeptidyl peptidase 1 heavy chain;Dipeptidyl peptidase 1 light chain"	"CTSC"
"Activated RNA polymerase II transcriptional coactivator p15"	"SUB1"
"Arginine--tRNA ligase, cytoplasmic"	"RARS"
"Tyrosine--tRNA ligase, cytoplasmic;Tyrosine--tRNA ligase, cytoplasmic, N-terminally processed;Tyrosine--tRNA ligase"	"YARS"
"Branched-chain-amino-acid aminotransferase, cytosolic"	"BCAT1"
"UV excision repair protein RAD23 homolog A"	"RAD23A"
"UV excision repair protein RAD23 homolog B"	"RAD23B"
"Delta-1-pyrroline-5-carboxylate synthase;Glutamate 5-kinase;Gamma-glutamyl phosphate reductase"	"ALDH18A1"
"Alpha-soluble NSF attachment protein"	"NAPA"
"Eukaryotic translation initiation factor 5"	"EIF5"
"26S proteasome non-ATPase regulatory subunit 4"	"PSMD4"
"Exportin-2"	"CSE1L"
"Transitional endoplasmic reticulum ATPase"	"VCP"
"Microfibrillar-associated protein 1"	"MFAP1"
"Trifunctional enzyme subunit beta, mitochondrial;3-ketoacyl-CoA thiolase"	"HADHB"
"Caspase-6;Caspase-6 subunit p18;Caspase-6 subunit p11"	"CASP6"
"Double-stranded RNA-specific adenosine deaminase"	"ADAR"
"Heterogeneous nuclear ribonucleoprotein H2"	"HNRNPH2"
"Eukaryotic translation initiation factor 3 subunit B"	"EIF3B"
"Methionine--tRNA ligase, cytoplasmic"	"MARS"
"ATP synthase subunit e, mitochondrial"	"ATP5I"
"Eukaryotic translation initiation factor 6"	"EIF6"
"C-terminal-binding protein 2"	"CTBP2"
"Nuclear pore complex protein Nup107"	"NUP107"
"Myotrophin"	"MTPN"
"Triosephosphate isomerase"	"TPI1"
"Eukaryotic translation initiation factor 3 subunit E"	"EIF3E"
"Actin, cytoplasmic 1;Actin, cytoplasmic 1, N-terminally processed"	"ACTB"
"Eukaryotic initiation factor 4A-I"	"EIF4A1"
"40S ribosomal protein S20"	"RPS20"
"Cell division control protein 42 homolog"	"CDC42"
"Destrin"	"DSTN"
"Ras-related protein Rab-2A"	"RAB2A"
"Ras-related protein Rab-5B"	"RAB5B"
"Ras-related protein Rab-10"	"RAB10"
"NEDD8-conjugating enzyme Ubc12"	"UBE2M"
"Ubiquitin-conjugating enzyme E2 K"	"UBE2K"
"Ubiquitin-conjugating enzyme E2 N"	"UBE2N"
"Ras-related protein Rab-14"	"RAB14"
"Actin-related protein 3"	"ACTR3"
"Actin-related protein 2"	"ACTR2"
"Alpha-centractin"	"ACTR1A"
"ATP-binding cassette sub-family E member 1"	"ABCE1"
"Ras-related protein Rap-1b;Ras-related protein Rap-1A;Ras-related protein Rap-1b-like protein"	"RAP1B"
"40S ribosomal protein S3a"	"RPS3A"
"Proteasome activator complex subunit 3"	"PSME3"
"60S ribosomal protein L27"	"RPL27"
"Pterin-4-alpha-carbinolamine dehydratase"	"PCBD1"
"Transforming protein RhoA;Rho-related GTP-binding protein RhoC"	"RHOA"
"Neurocalcin-delta"	"NCALD"
"10 kDa heat shock protein, mitochondrial"	"HSPE1"
"Small ubiquitin-related modifier 2;Small ubiquitin-related modifier 4;Small ubiquitin-related modifier 3"	"SUMO2"
"Ubiquitin-fold modifier 1"	"UFM1"
"DDB1- and CUL4-associated factor 7"	"DCAF7"
"WD repeat-containing protein 5"	"WDR5"
"Nuclear transport factor 2"	"NUTF2"
"Heterogeneous nuclear ribonucleoprotein K"	"HNRNPK"
"14-3-3 protein gamma;14-3-3 protein gamma, N-terminally processed"	"YWHAG"
"40S ribosomal protein S7"	"RPS7"
"Serine/threonine-protein phosphatase PP1-alpha catalytic subunit;Serine/threonine-protein phosphatase"	"PPP1CA"
"Serine/threonine-protein phosphatase PP1-beta catalytic subunit;Serine/threonine-protein phosphatase"	"PPP1CB"
"26S protease regulatory subunit 4"	"PSMC1"
"26S protease regulatory subunit 8"	"PSMC5"
"40S ribosomal protein S8"	"RPS8"
"40S ribosomal protein S15a"	"RPS15A"
"40S ribosomal protein S16"	"RPS16"
"14-3-3 protein epsilon"	"YWHAE"
"40S ribosomal protein S23"	"RPS23"
"40S ribosomal protein S18"	"RPS18"
"40S ribosomal protein S13"	"RPS13"
"40S ribosomal protein S11"	"RPS11"
"Small nuclear ribonucleoprotein E"	"SNRPE"
"Small nuclear ribonucleoprotein F"	"SNRPF"
"U6 snRNA-associated Sm-like protein LSm3"	"LSM3"
"U6 snRNA-associated Sm-like protein LSm6"	"LSM6"
"Small nuclear ribonucleoprotein Sm D1"	"SNRPD1"
"Small nuclear ribonucleoprotein Sm D2"	"SNRPD2"
"Small nuclear ribonucleoprotein Sm D3"	"SNRPD3"
"Thymosin beta-4;Hematopoietic system regulatory peptide"	"TMSB4X"
"60S ribosomal protein L7a"	"RPL7A"
"DNA-directed RNA polymerase II subunit RPB7"	"POLR2G"
"Eukaryotic peptide chain release factor subunit 1"	"ETF1"
"Cellular nucleic acid-binding protein"	"CNBP"
"40S ribosomal protein S4, X isoform"	"RPS4X"
"Actin, aortic smooth muscle;Actin, gamma-enteric smooth muscle"	"ACTA2"
"40S ribosomal protein S6"	"RPS6"
"Histone H4"	"HIST1H4A"
"Ras-related protein Rab-1A"	"RAB1A"
"GTP-binding nuclear protein Ran"	"RAN"
"60S ribosomal protein L23"	"RPL23"
"40S ribosomal protein S25"	"RPS25"
"40S ribosomal protein S26;Putative 40S ribosomal protein S26-like 1"	"RPS26"
"40S ribosomal protein S28"	"RPS28"
"Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1"	"GNB1"
"E3 ubiquitin-protein ligase RBX1;E3 ubiquitin-protein ligase RBX1, N-terminally processed"	"RBX1"
"Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2"	"GNB2"
"Putative 60S ribosomal protein L39-like 5;60S ribosomal protein L39"	"RPL39P5"
"60S ribosomal protein L31"	"RPL31"
"60S ribosomal protein L10a"	"RPL10A"
"60S ribosomal protein L11"	"RPL11"
"Peptidyl-prolyl cis-trans isomerase A;Peptidyl-prolyl cis-trans isomerase A, N-terminally processed;Peptidyl-prolyl cis-trans isomerase"	"PPIA"
"Peptidyl-prolyl cis-trans isomerase FKBP1A;Peptidyl-prolyl cis-trans isomerase"	"FKBP1A"
"Ubiquitin-40S ribosomal protein S27a;Ubiquitin;40S ribosomal protein S27a;Polyubiquitin-C;Ubiquitin;Ubiquitin-60S ribosomal protein L40;Ubiquitin;60S ribosomal protein L40;Polyubiquitin-B;Ubiquitin"	"RPS27A"
"Growth factor receptor-bound protein 2"	"GRB2"
"Transformer-2 protein homolog beta"	"TRA2B"
"Ras-related C3 botulinum toxin substrate 1;Ras-related C3 botulinum toxin substrate 2"	"RAC1"
"AP-2 complex subunit beta"	"AP2B1"
"Guanine nucleotide-binding protein G(s) subunit alpha isoforms short;Guanine nucleotide-binding protein G(s) subunit alpha isoforms XLas"	"GNAS"
"14-3-3 protein zeta/delta"	"YWHAZ"
"Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B alpha isoform"	"PPP2R2A"
"Dynein light chain 1, cytoplasmic"	"DYNLL1"
"Dynein light chain Tctex-type 1"	"DYNLT1"
"40S ribosomal protein S21"	"RPS21"
"Guanine nucleotide-binding protein subunit beta-2-like 1;Guanine nucleotide-binding protein subunit beta-2-like 1, N-terminally processed"	"GNB2L1"
"Actin, cytoplasmic 2;Actin, cytoplasmic 2, N-terminally processed"	"ACTG1"
"Transcription elongation factor SPT4"	"SUPT4H1"
"SUMO-conjugating enzyme UBC9"	"UBE2I"
"Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform;Serine/threonine-protein phosphatase 2A catalytic subunit beta isoform"	"PPP2CA"
"Nuclease-sensitive element-binding protein 1;Y-box-binding protein 3"	"YBX1"
"Tropomyosin alpha-4 chain"	"TPM4"
"Actin, alpha cardiac muscle 1;Actin, alpha skeletal muscle"	"ACTC1"
"Ubiquitin-conjugating enzyme E2 L3"	"UBE2L3"
"Elongation factor 1-alpha 1;Putative elongation factor 1-alpha-like 3;Elongation factor 1-alpha"	"EEF1A1"
"Tubulin alpha-1B chain;Tubulin alpha-4A chain"	"TUBA1B"
"Tubulin beta-4B chain"	"TUBB4B"
"Platelet-activating factor acetylhydrolase IB subunit beta"	"PAFAH1B2"
"Histone H3.1;Histone H3.2;Histone H3.1t"	"HIST1H3A"
"Coxsackievirus and adenovirus receptor"	"CXADR"
"General transcription factor II-I"	"GTF2I"
"T-complex protein 1 subunit beta"	"CCT2"
"Glutathione S-transferase omega-1"	"GSTO1"
"DNA-dependent protein kinase catalytic subunit"	"PRKDC"
"Brain acid soluble protein 1"	"BASP1"
"SAP domain-containing ribonucleoprotein"	"SARNP"
"Chromobox protein homolog 1"	"CBX1"
"ADP-ribosylation factor 1;ADP-ribosylation factor 3"	"ARF1"
"ADP-ribosylation factor 5"	"ARF5"
"Enhancer of rudimentary homolog"	"ERH"
"Forkhead box protein K1"	"FOXK1"
"RNA-binding protein 10"	"RBM10"
"RNA-binding protein 3"	"RBM3"
"Transcription factor A, mitochondrial"	"TFAM"
"Cyclin-dependent kinase 6"	"CDK6"
"Peptidyl-prolyl cis-trans isomerase FKBP3"	"FKBP3"
"Sorbitol dehydrogenase"	"SORD"
"Heterogeneous nuclear ribonucleoprotein U"	"HNRNPU"
"Nucleolysin TIAR"	"TIAL1"
"Fatty acid-binding protein, epidermal"	"FABP5"
"Adenylyl cyclase-associated protein 1;Adenylyl cyclase-associated protein"	"CAP1"
"Hydroxymethylglutaryl-CoA synthase, cytoplasmic"	"HMGCS1"
"Protein Dr1"	"DR1"
"ATP-dependent 6-phosphofructokinase, platelet type"	"PFKP"
"Methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial"	"ALDH6A1"
"Dual specificity mitogen-activated protein kinase kinase 1;Dual specificity mitogen-activated protein kinase kinase 2"	"MAP2K1"
"Peptidyl-prolyl cis-trans isomerase FKBP4;Peptidyl-prolyl cis-trans isomerase FKBP4, N-terminally processed"	"FKBP4"
"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1"	"PLOD1"
"Nucleobindin-1"	"NUCB1"
"60S ribosomal protein L6"	"RPL6"
"DNA topoisomerase 2-beta;DNA topoisomerase 2"	"TOP2B"
"A-kinase anchor protein 12"	"AKAP12"
"Lamin-B2"	"LMNB2"
"Transducin-like enhancer protein 1;Transducin-like enhancer protein 2;Transducin-like enhancer protein 4"	"TLE1"
"Lactoylglutathione lyase"	"GLO1"
"Single-stranded DNA-binding protein, mitochondrial"	"SSBP1"
"14-3-3 protein eta"	"YWHAH"
"Cleavage stimulation factor subunit 1"	"CSTF1"
"Serine/arginine-rich splicing factor 11"	"SRSF11"
"Tyrosine-protein phosphatase non-receptor type 11"	"PTPN11"
"Amidophosphoribosyltransferase"	"PPAT"
"Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1"	"GFPT1"
"Proteasome activator complex subunit 1"	"PSME1"
"Peroxiredoxin-1"	"PRDX1"
"Complement component 1 Q subcomponent-binding protein, mitochondrial"	"C1QBP"
"Cytoskeleton-associated protein 4"	"CKAP4"
"KH domain-containing, RNA-binding, signal transduction-associated protein 1"	"KHDRBS1"
"Apoptosis regulator BAX"	"BAX"
"Prolow-density lipoprotein receptor-related protein 1;Low-density lipoprotein receptor-related protein 1 85 kDa subunit;Low-density lipoprotein receptor-related protein 1 515 kDa subunit;Low-density lipoprotein receptor-related protein 1 intracellular domain"	"LRP1"
"Rho GTPase-activating protein 1"	"ARHGAP1"
"ATP-dependent RNA helicase A"	"DHX9"
"Quinone oxidoreductase"	"CRYZ"
"Galectin-3-binding protein"	"LGALS3BP"
"Peptidyl-prolyl cis-trans isomerase D"	"PPID"
"FACT complex subunit SSRP1"	"SSRP1"
"tRNA (cytosine(34)-C(5))-methyltransferase"	"NSUN2"
"Histone-binding protein RBBP4"	"RBBP4"
"Nuclear cap-binding protein subunit 1"	"NCBP1"
"Neuroblast differentiation-associated protein AHNAK"	"AHNAK"
"Ragulator complex protein LAMTOR4;Ragulator complex protein LAMTOR4, N-terminally processed"	"LAMTOR4"
"Polypeptide N-acetylgalactosaminyltransferase 2;Polypeptide N-acetylgalactosaminyltransferase 2 soluble form"	"GALNT2"
"Cleavage and polyadenylation specificity factor subunit 1"	"CPSF1"
"Mitochondrial-processing peptidase subunit alpha"	"PMPCA"
"Secernin-1"	"SCRN1"
"Aspartyl/asparaginyl beta-hydroxylase"	"ASPH"
"Alpha-globin transcription factor CP2"	"TFCP2"
"Splicing factor 3A subunit 3"	"SF3A3"
"Aminoacyl tRNA synthase complex-interacting multifunctional protein 1;Endothelial monocyte-activating polypeptide 2"	"AIMP1"
"Interleukin enhancer-binding factor 2"	"ILF2"
"Interleukin enhancer-binding factor 3"	"ILF3"
"Heat shock protein 75 kDa, mitochondrial"	"TRAP1"
"Nuclear inhibitor of protein phosphatase 1;Activator of RNA decay"	"PPP1R8"
"Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial"	"ECH1"
"Protein AF1q"	"MLLT11"
"Protein Red"	"IK"
"TAR DNA-binding protein 43"	"TARDBP"
"Heterogeneous nuclear ribonucleoprotein A0"	"HNRNPA0"
"Aminoacyl tRNA synthase complex-interacting multifunctional protein 2"	"AIMP2"
"Peroxiredoxin-4"	"PRDX4"
"Serine/threonine-protein kinase PAK 2;PAK-2p27;PAK-2p34"	"PAK2"
"Chromobox protein homolog 3"	"CBX3"
