DCX_YFP(+)_tp2_s.1	DCX_YFP(+)_tp2_s.2	DCX_YFP(+)_tp3_s.1	DCX_YFP(+)_tp3_s.3	DCX_YFP(+)_tp1_s.1	DCX_YFP(+)_tp1_s.2	DCX_YFP(+)_tp1_s.3	SOX2_YFP(+)_tp1_s.1	SOX2_YFP(+)_tp1_s.2	SOX2_YFP(+)_tp1_s.3	SOX2_YFP(+)_tp2_s.1	SOX2_YFP(+)_tp2_s.2	SOX2_YFP(+)_tp2_s.3
RBMX	3.503163	3.132979	3.45754	3.42992	3.887963	4.447021	3.631933	3.548725	3.159874	4.264954	4.167197	4.01354	4.265932
ATP6V1A	1.651488	0.4776676	0.6668343	-1.776435	1.660443	-0.04473206	0.420965	-0.4850337	0.2337487	-0.2945417	-1.313549	-0.1713596	0.1838922
HSPA9	2.992829	3.113732	3.569662	3.137632	3.152136	3.337458	2.589085	4.089212	3.889212	3.985507	3.686263	3.800292	3.911271
EIF4A3	0.6806763	-0.05226041	1.685445	1.110796	1.681249	2.071096	0.7207311	1.776394	2.195284	1.692371	2.070764	2.149881	2.198415
RPS19	1.055394	1.361398	2.208778	1.803039	2.062501	2.307277	1.492287	1.260803	1.624464	2.275256	2.146476	2.49877	1.561629
RPL3	0.8736579	1.03469	1.511625	1.75858	1.336152	2.090538	0.9560418	2.096584	2.054358	2.253066	2.179169	1.850569	1.878137
FEN1	-0.5588989	-1.16843	-0.1682526	-0.456178	0.3188252	0.4526566	-0.05338383	-0.5839911	-0.2225794	0.2073469	0.8784662	0.675536	0.5815147
CCT6A	3.055147	3.074767	3.270079	2.778662	3.935983	3.421548	3.332717	2.878317	3.047928	2.826396	3.13413	3.242376	3.240654
RPL13A	0.6716734	0.7199137	0.6574363	1.01017	0.8751522	0.8217634	0.7737911	-0.7083205	0.7071282	0.1684345	0.1072966	-0.427303	-0.2344228
STAT3	-4.944147	-1.79187	-1.936882	-2.233235	-5.231946	-2.571763	-4.161881	-4.065544	-2.588549	-3.314674	-3.063046	-3.665582	-2.597894
MDH2	4.875181	4.895747	4.879414	4.421641	4.607738	4.826488	4.533597	4.801401	4.601681	4.802972	4.316919	4.702797	4.721564
RFC3	-3.347846	-4.757072	-3.052117	-4.030813	0.1782368	-1.749245	-2.614856	-2.941713	-0.6002226	-2.849599	-0.7912975	-0.227279	-1.079953
EIF2S3	-0.6761936	-0.04731825	0.6420273	-0.1895416	0.7395707	0.833777	-0.9178716	-0.3348162	0.3650642	0.6208084	0.5128597	1.012404	0.2675189
CETN2	-2.008457	-2.119095	-1.997123	-1.867504	-2.09239	-3.101997	-2.127986	-1.558964	-0.9829949	-1.168668	-1.185215	-0.8717246	-0.04530151
PRPH	-0.8833004	-0.4613047	1.403503	-1.918263	-0.2783353	-1.113957	0.03710864	-3.558235	-3.95733	-4.28371	-3.838928	-3.056127	-3.875252
BUD31	-2.376072	-2.283044	-0.8518847	-2.069158	-1.25139	-1.064251	-0.9549668	-1.19266	-1.66067	-1.144184	-1.301866	-1.077354	-1.557743
GARS	-0.4998621	-0.6531619	0.4889595	-0.2082065	0.6014403	0.2823708	-0.8698304	0.2506794	1.015923	0.4505019	0.5737455	1.08462	1.186583
EIF1	0.8672686	-1.305535	1.804668	0.9149458	1.427318	-0.3455184	2.421684	0.3477037	0.8241287	-0.1027015	-0.1033533	0.615032	0.7591666
ACTR1B	0.5692714	-0.05099299	-1.052428	-2.938148	-0.5146763	-1.124562	-0.006776091	-1.747333	-0.693346	-1.460935	-1.720448	-1.672431	-1.262943
ECI1	-1.133014	-4.169381	-0.2175454	-2.576039	-1.155188	-0.6150295	-3.793684	-0.5161099	0.04842319	-0.2537725	-0.6771129	0.2749172	0.3700074
TMPO	2.684479	2.150203	2.399335	2.343223	2.904061	3.096855	2.404994	2.22312	2.245233	2.907473	2.851904	3.244093	3.178388
TMPO.1	0.2276162	-1.032678	-0.3815431	-0.5849464	-0.1060203	0.08855276	-0.4813773	0.2679701	-1.20499	0.325574	0.2736355	-0.5199373	0.2113082
SKIV2L2	-0.4024252	-2.408644	-3.49623	-1.083998	-2.574118	-0.3107398	-1.778888	-0.4229383	-0.4366025	-0.07581443	0.2136517	-0.5476835	-0.4355347
CASP3	-1.039492	-1.264551	-1.044301	-0.9384525	-0.292254	-1.645097	-2.304715	-2.60585	-0.9202298	-1.769254	-1.902618	-1.518608	-1.954186
RPS27	-1.252533	-2.3352	-0.4128036	-0.09895708	-0.8604047	-1.238632	-2.485944	-1.075365	-0.612307	-0.6886441	-2.370115	-0.3061241	-0.3944642
LRPPRC	-0.02057736	-0.6605387	1.134344	-0.3310495	0.5709266	1.499543	0.4665351	-0.3021007	1.359213	1.389825	1.324515	1.535049	2.152741
PRCP	-3.556297	-2.870057	1.249327	-0.4112914	-3.37701	0.421376	-2.540889	0.7264913	-0.5045375	3.279819	2.197417	-0.5908312	0.3227212
PAFAH1B1	2.036307	1.838993	1.372151	1.2215	1.556506	1.815819	1.058888	0.8635258	1.309816	1.730296	1.255002	1.477947	1.372772
MSH2	-0.4863291	-0.2292718	0.4974221	0.6387155	0.7438623	1.333689	0.5848413	1.705503	1.537965	1.556238	2.357516	2.076233	1.950211
GPD2	-4.218878	-4.825384	-4.273296	-2.218279	-3.83085	-2.351538	-4.06643	-2.322235	-0.5490479	-0.4799693	-2.534421	-2.146462	-2.791145
RANBP1	0.9222518	0.8725659	1.577029	0.1332543	1.286261	1.972683	0.3915561	1.033992	1.93204	2.476759	2.683395	2.427823	2.308097
NAMPT	-5.60924	0.02408791	-0.4754331	-1.372717	0.0675849	-0.8241195	-0.4514968	-0.9252961	-0.4089557	-0.9911801	-0.4423958	-0.6206017	-0.7738598
PSMC4	1.326125	0.8494376	1.784876	1.242588	2.08898	2.071308	1.732906	1.274287	1.623496	2.135249	1.867414	2.278688	2.106679
VDAC2	3.485396	3.288503	3.164619	2.898414	3.381052	3.501368	2.724486	2.223197	2.706111	3.314652	2.833982	3.135629	3.007099
CBX5	1.653622	1.032068	2.170073	1.771797	2.329181	2.294638	1.467691	2.485413	2.743073	2.763433	2.71762	2.868095	2.749237
USP5	1.626383	1.691532	1.750943	0.8508872	2.345458	1.972297	1.604996	1.534237	2.229789	1.471821	1.900076	2.299494	2.247479
RANGAP1	-1.630479	-1.156098	-1.441092	-1.256765	-0.8112858	-0.1013075	-1.297605	-0.4628421	0.06901869	-0.6167887	0.4608921	0.8686696	0.2123267
CRK	-1.168368	-0.624347	0.09224521	-0.996044	-0.04340103	-0.4724411	-2.084089	-1.325777	-0.113381	-0.2831916	0.2013286	-0.5235518	-0.1567373
CRKL	1.469888	0.6344628	1.198969	0.9053476	1.70129	1.018286	0.9844124	1.181665	1.343269	1.451466	1.548623	1.65555	1.624931
RPS10	2.260772	1.746091	2.480305	1.471864	2.339919	2.39147	2.306574	2.687447	2.285553	2.762329	2.754442	2.858161	2.983544
MAP1B	6.382115	6.278433	5.583491	4.860603	5.68642	5.757193	5.282242	4.065185	3.907797	4.761312	5.513912	5.601595	5.382306
IQGAP1	-1.589486	-0.1240184	0.7037675	0.1295072	-1.847452	-1.854115	-0.5584222	-1.333237	-2.299427	-0.16059	0.2197141	0.6067131	0.1876874
STT3A	0.1936656	0.6050451	-3.891002	-3.052467	-1.020635	-4.767782	0.9422379	-4.561968	-0.450697	-2.149386	-3.64499	-2.705929	-1.90005
CAPZA2	2.067549	1.352985	1.766183	1.697108	0.9904605	1.758548	1.352515	1.055227	1.274715	1.6182	1.941176	1.865536	1.64721
QARS	-1.125763	-0.7810377	-0.4072495	-0.8983752	0.2176959	1.185889	-0.8955494	0.1000829	0.3395728	0.858028	0.9892403	1.160048	1.173944
UQCRFS1	-4.735574	-2.650938	-1.813914	-0.6884803	-1.67307	-0.740087	-3.184456	-0.1128431	-0.9398984	-0.02398989	-0.5130247	-0.2460875	-0.9036859
ATP5O	2.421515	2.439055	2.431776	2.17955	2.378513	2.018891	2.005181	2.581695	2.284285	2.242185	1.834126	2.270019	2.072029
PREP	-0.01147899	0.116091	-0.1379987	-0.7401719	0.5658656	0.6033565	-0.2633369	-0.05289928	0.8183214	0.6024762	-0.006506085	0.5193059	0.5039674
SOX2	-2.966894	-2.567145	-2.723564	-2.477854	-2.450623	-5.146585	-2.985845	-1.719779	-1.299762	-0.8199583	-0.8548015	-1.023743	-0.9108099
ARCN1	-0.3281533	-0.463321	0.3121423	0.57761	0.7584125	0.5358055	0.2468262	0.1159957	0.269275	0.3537431	0.6501468	0.4456729	0.06721172
LSS	-0.01541965	-0.3408662	-1.795495	-1.157014	0.2522061	0.7315473	-0.8160935	-0.5293314	-0.4406825	0.2399729	0.8861008	0.1375944	0.8989425
PCP4	-3.571361	-3.747505	-3.412519	-2.72777	-3.292486	-2.331203	-3.843244	-4.211769	-3.12028	-4.092453	-3.9374	-3.371113	-2.804081
GSS	-1.510085	-1.469254	-1.870415	-2.155868	-2.002756	-2.524662	-1.897866	-1.302572	-0.1548098	-1.515277	-0.9864926	-1.426835	-0.7900064
CCT5	3.353813	3.429129	3.263157	2.7681	3.849558	3.007617	3.392506	2.926296	3.101091	2.886345	2.82718	3.328759	3.268958
NES	3.37542	3.651347	4.325655	3.799986	2.099716	3.524514	2.29695	4.988072	5.015892	4.900603	5.636021	5.236292	5.410286
HSPA13	-1.292148	-1.677151	-1.359447	-1.377536	-1.439998	-1.502033	-1.555117	-0.8954089	-1.456987	-2.188209	-2.958674	-1.536382	-1.392885
IDH2	4.523025	4.208776	4.743876	3.784615	4.224689	4.2219	3.791358	4.348277	3.992631	4.030788	4.012298	4.117479	4.143384
MARCKSL1	-0.4063627	-0.9094031	-1.160151	-1.050312	-0.2567834	0.7756786	-2.34191	-0.4562546	-1.307758	0.7149266	0.529157	0.1031761	0.2641373
ALDH9A1	-2.478962	-1.670639	0.4591621	0.4088847	-0.7396411	-1.436069	-2.075233	0.1340684	-0.1213115	0.3915416	0.3301962	-0.1289951	0.2750834
RPL34	-0.7138296	-0.5263817	-0.8538237	0.4355721	-1.276452	-0.4685909	0.1751446	-4.125934	-2.376748	-0.3384341	-1.755365	-3.39379	-0.819926
LMAN1	-1.963853	-1.839156	-5.243804	-4.035456	-1.150095	-1.443284	-0.3273692	-4.344473	-2.471453	-0.4501819	-1.560342	-1.848053	-2.840088
NASP	2.037534	1.776644	2.939427	2.346805	3.352315	3.501032	2.55974	3.884668	3.843193	3.937132	4.512526	4.275843	3.851605
FASN	5.113541	4.527677	4.250248	3.468333	4.66177	4.808626	3.858226	4.13732	4.376136	4.424221	5.301981	5.107021	4.969723
CCT3	3.297857	3.181494	3.426315	2.649837	3.664972	3.89776	3.230645	2.646821	3.083074	3.359726	3.893647	3.595172	3.441156
TUFM	2.326582	2.094755	2.341014	2.033424	2.531437	2.774001	1.508847	2.720179	2.90168	2.891687	2.803889	2.490819	2.959258
SRP9	1.036709	1.15077	1.947128	1.477921	2.15767	2.104737	1.509689	1.799912	2.197384	2.276444	2.524469	2.341453	2.049217
AARS	0.3222822	0.716815	0.7359924	-0.6491928	-0.08309459	-0.3137636	-0.5579809	-0.8994246	0.3015501	0.5296255	0.8933375	0.9095925	0.4211122
SARS	1.588764	1.678154	1.604838	1.248586	1.661891	0.9373455	1.205561	0.8875296	1.210898	0.8208531	1.198663	1.711708	1.349004
PSMB2	1.135644	1.363011	1.084875	0.6779036	1.429378	0.3339638	1.979605	0.9256559	0.9332837	0.04804859	0.4955367	0.5381328	0.7411095
MCM2	1.634679	2.074893	2.269427	2.151531	1.836665	2.557951	2.454146	2.615231	2.659475	2.908735	3.208951	3.144165	2.901728
ACADVL	-4.342907	-1.832616	-0.9386452	-2.377664	-1.949246	-1.748842	-4.988432	0.4900899	-0.003527265	0.06768262	-0.8631814	0.126234	0.2379892
TMED10	-0.7571336	-1.331607	0.3769747	0.6301219	0.6184709	0.6801679	-1.386775	0.4855317	0.7412428	0.9982634	0.6532825	1.116873	1.560467
RBM25	-3.654794	-3.786823	-1.116341	-3.688156	-1.661076	-0.771301	-3.855812	-1.662706	-1.702024	-0.1699825	0.131493	-0.2856102	-1.212405
HINT1	3.76367	3.12568	3.241664	3.190275	2.824866	2.768182	2.876996	3.404212	3.269802	3.243586	2.458946	3.15914	3.385831
RANBP2	-3.288195	-3.107655	-1.701382	-2.037567	-1.52218	-0.8669749	-2.291945	-1.334134	-0.3714805	0.3807906	-0.4492181	0.4503018	-0.2280308
SEPHS1	-0.2101766	-0.6795491	0.3106118	-0.8981206	0.540496	0.5285889	-0.005601957	-1.906323	0.02996229	0.6473889	1.124079	0.9693306	0.229504
GMPS	1.137103	0.8247405	1.538941	1.062402	1.829661	1.665936	1.14548	2.65528	3.294229	2.83308	2.437983	2.998809	2.882674
GDI2	3.680735	3.645034	3.506089	2.77807	3.568657	3.679071	3.035307	3.234105	3.271653	3.208367	3.815413	3.544826	3.633851
EMD	-0.8124355	-1.345701	-0.9945853	-1.553709	-0.6777821	-0.08253883	-1.486952	-1.400757	-1.874604	-0.2519531	-0.03144429	-0.3476406	-0.3747354
SERPINB9	-2.541077	-2.609296	-2.614666	-2.759203	-3.019867	-2.545628	-2.459375	-3.723464	-3.461937	-3.269281	-4.046134	-3.769117	-4.176699
SERPINH1	4.839655	4.966421	5.4206	5.547197	3.5367	4.279143	4.29483	5.445259	5.063711	5.015226	4.057516	4.353071	4.627164
ST13	2.191236	2.103061	2.445243	2.018293	2.273251	2.450469	1.889858	2.100745	2.426009	2.576053	2.986309	2.684588	2.586821
DNM2	0.3929915	-0.2031937	0.5308447	-0.3598009	-0.3472866	0.3357505	-0.2701202	-0.2146368	-1.198325	-1.434372	-1.363875	0.2478722	0.03731775
NUDT2	-1.82746	-1.553692	-1.684697	-1.452025	-1.566578	-1.30292	-1.723004	-1.759636	-1.544908	-1.914937	-1.601905	-1.161753	-1.650231
CCT8	4.03643	3.823775	3.823844	3.412325	4.266193	3.882582	3.884902	3.41139	3.462723	3.452713	3.833965	3.918707	3.790472
CCT4	3.18745	3.189615	3.372571	2.368462	3.60933	3.351935	3.225044	2.763064	3.04076	2.955188	3.073121	3.278635	3.073628
ANXA11	-2.571868	-2.943308	-3.120119	-1.586512	-4.534878	-3.055459	-3.343735	-3.99408	-4.581682	-2.559712	-3.459769	-2.613759	-4.782702
FXR1	-0.8019882	-2.01105	-0.4849022	-0.5820913	-0.3988491	-0.3084122	-1.201777	-0.3008455	-0.266477	-0.2042581	0.4723112	-0.1809833	0.01017325
RAB5C	1.236058	0.6620529	0.6961507	0.355322	0.4798466	1.188598	-2.003997	0.1497967	0.5014191	0.6488123	0.9387758	0.994592	0.8317378
RAB7A	2.418805	2.342395	2.210898	1.283047	2.082273	2.149232	1.258166	0.9861789	1.424133	1.745203	2.094902	2.036072	2.040598
GALK1	-4.294625	-5.353958	-4.592081	-2.742698	-3.754644	-3.762393	-4.945811	-3.519336	-1.731109	-2.687547	-4.7013	-3.985596	-1.35499
SSR4	-2.868116	-2.919154	-1.775303	-0.7939174	-0.1072478	0.4603263	-0.9219946	-1.274132	0.09456548	-1.106645	-0.003556773	0.3709592	-0.3632767
BCAP31	-0.5740243	-0.428204	-0.08247615	-0.740274	-1.125028	-1.712121	-0.9922725	-1.283072	-3.490891	-0.779705	-2.602156	-1.173135	-1.177433
PSMD7	1.401259	0.7685573	1.958104	1.306125	1.802963	1.617115	-0.7105076	1.664671	1.729895	1.445143	0.5511383	1.660128	1.789806
GPM6A	1.174728	0.587851	-0.2291778	-0.5317911	-2.004658	-2.294969	-2.558241	-4.692282	-2.607395	-3.672583	-2.032197	-1.661101	-2.117721
HDGF	1.071908	-0.02714451	2.656031	1.774311	2.106343	2.004839	1.757667	1.944313	2.082996	2.113498	2.080286	2.594874	2.575757
NDUFA8	-1.128581	-2.646972	-2.206613	-3.178114	-0.7176708	-1.233747	-3.057419	-2.084489	-0.6072019	-1.711697	-1.404822	-1.321042	-1.624787
HNRNPA3	5.96702	5.565456	5.990944	5.287269	6.105858	5.917671	6.1257	5.700319	6.108213	5.915038	5.181262	5.987939	6.02656
PGD	4.0198	3.742927	3.551554	3.316719	3.559079	3.876246	3.592964	3.775671	3.809916	3.721738	3.854018	4.04065	4.092317
HNRNPM.1	3.970124	3.859663	4.431467	4.189072	4.842129	5.246971	4.411955	4.841681	5.052672	5.232994	5.291829	5.194237	5.254391
KPNA2	-1.649266	-4.494237	-1.563352	-1.436515	-0.8733171	-0.4196468	-1.476221	-0.1051978	-1.220715	-0.1818364	0.9088445	0.5220615	0.1495902
NCBP2	-5.127861	-4.613986	-1.357988	-5.440682	-0.6979746	-2.281253	-5.351434	-4.821331	-0.9606732	-1.501542	-1.994089	-2.018512	-0.7446477
ARHGDIA	2.311157	2.48803	2.995727	2.666663	2.57243	2.560961	1.876616	2.187431	2.177802	2.441783	2.774032	2.602611	2.45676
HNRNPF	1.807901	1.725797	2.314595	2.389524	2.049191	2.460358	1.989592	2.850122	2.933115	3.060565	2.958656	3.141934	3.386296
MSH6	-2.886857	-2.548644	-1.060942	-2.061891	0.255222	0.4921789	-0.8615693	0.0450545	1.76677	1.640703	1.802911	2.282323	1.944301
HRSP12	-2.580947	-3.697389	-1.767316	-2.795893	-2.032135	-0.7073576	-1.882779	-0.5411237	0.2060891	-0.6503564	-0.4941564	-0.3141904	0.277371
CAPZA1	2.35955	2.606202	2.307819	2.246412	2.646503	2.833565	2.357662	2.349673	2.353604	2.305218	2.986254	2.567494	2.745013
CRIP2	1.044005	1.097214	1.948238	1.156432	1.188618	1.222922	0.338483	0.206512	0.2549774	1.118527	1.505006	0.8947732	1.085334
BLVRA	-0.4012364	-2.978579	-2.261824	-1.212727	-1.795924	-0.9128182	-2.765746	-1.751464	-0.7549032	-0.9533758	-1.076447	0.01800225	-0.3672009
SLC25A1	-0.4059001	-1.525114	-1.900219	-1.845201	-1.437741	-1.092886	-2.018096	-1.927504	-0.9542063	-1.018156	-0.560003	-0.2801803	-1.029758
ACLY	0.8072003	0.8815707	0.8328242	0.2812895	1.944682	1.527913	0.7031805	-0.1414724	1.049753	0.8758647	1.097985	1.750367	0.5372363
SUCLG1	-2.127507	-2.507479	-2.766603	-3.066726	-1.904505	-1.676798	-2.767231	-1.567566	-0.8369266	-0.8116292	-1.245592	-2.083144	-1.388312
MVD	-0.7202535	-0.8697039	-1.76817	-2.140108	-1.192227	-0.936334	-1.366382	-1.855748	-3.745284	-1.369104	-1.321335	-0.8209095	-1.399858
COPB1	0.3339216	0.2667788	1.092832	0.8960865	1.091193	1.463706	0.2393722	0.1029422	1.187503	0.6916853	1.100268	1.516843	1.522098
COPA	0.0681304	0.4672769	1.121751	0.09031786	1.351407	1.399178	0.8433318	-1.137145	-0.02152609	0.2740115	1.115121	1.169467	1.006823
CTSC	-0.4426607	-0.5304008	-0.5467253	0.5236453	-3.364744	-2.418912	-2.957156	0.1156004	1.086931	0.7754799	0.4559177	1.003741	0.4722328
SUB1	1.573179	1.156143	1.814302	1.819856	1.83417	-0.6458449	1.770185	-0.0634957	1.837743	0.562513	-0.7314502	1.795839	1.267015
RARS	0.8634504	0.004821453	0.8363011	2.46332	0.4986286	0.5696287	0.2039721	0.6267068	0.3214533	0.893082	0.5780193	0.9136237	0.5994667
YARS	-0.2038297	-0.2340045	-0.0294501	-0.2462263	-0.2384839	0.6296313	-0.6917535	-0.0290438	0.428421	1.131655	0.9647123	0.7341743	0.6717253
BCAT1	-2.150035	-3.323399	-2.998344	-2.799431	-0.07844098	-1.574431	-0.4364277	-2.756133	0.8946096	-1.282822	-0.6854945	0.02252027	-0.9562334
RAD23A	-3.602799	-3.913902	-3.262968	-2.173361	-1.425979	-1.399751	-3.5282	-3.130695	-1.349547	-1.855108	-1.314252	-0.9324397	-1.267716
RAD23B	0.828536	1.274967	1.084226	0.7064766	1.653647	1.863532	1.247096	1.745879	1.798355	1.902978	1.772981	1.843802	1.836074
ALDH18A1	-1.744669	-1.173354	-0.2138421	-0.251774	-0.2180572	0.3033431	-0.9382302	1.676332	1.780396	1.707492	1.510829	1.602972	1.669948
NAPA	0.4976406	-0.1525235	-0.06901406	0.1940809	0.8666186	0.4483984	0.5289172	0.1797969	0.7497694	0.6564805	-0.07367442	0.7951566	0.3909504
EIF5	-0.3435282	-0.737644	-0.2092525	-1.691896	-0.06157874	-0.2435424	-0.6872328	-0.05103246	0.2560714	0.4995894	0.9675726	0.6835761	0.4088069
PSMD4	0.7291066	0.5085358	1.41928	0.0503056	1.366062	1.858472	0.6590037	0.5868661	1.299763	1.630663	1.539738	1.505922	1.445794
CSE1L	-0.1326009	-1.231407	0.6152983	0.3936783	4.592971	2.387428	-0.4689111	0.8851286	4.200389	2.255405	2.529765	5.031898	2.206339
VCP	4.318325	4.47935	4.258563	3.846936	4.435795	4.394438	4.416205	4.330944	4.562692	4.421079	4.354652	4.414122	4.526505
MFAP1	-2.794395	-5.311426	-3.782457	-1.190748	-2.545751	-1.443977	-4.322309	-1.008671	-0.8768357	-0.8814595	-1.230888	-1.439452	-1.048297
HADHB	0.05031019	0.2123382	0.6477903	0.9303064	-0.34191	-1.207613	0.03206963	-2.274382	0.9925712	0.4219087	0.06746595	-0.05199119	0.6818983
CASP6	-4.601159	-3.31615	-3.931349	-5.64438	-2.975374	-3.970534	-4.619936	-1.90714	-2.432922	-2.021566	-3.451535	-3.671713	-2.213366
ADAR	-0.6707166	-1.413597	-1.269998	-1.295035	-0.03049667	0.5198386	-0.5189816	-0.895507	-0.5321731	0.1230628	-0.935488	0.600931	0.5282897
HNRNPH2	-0.9270576	-1.912802	-2.037451	-0.6899073	-0.2104269	-0.07287526	-2.101571	-0.2992162	0.09985381	0.5621581	0.3145385	0.3164414	0.8007482
EIF3B	0.9924539	2.001585	1.795765	1.818355	1.523927	1.258162	1.877846	1.449028	2.164241	1.082961	1.429923	1.577047	0.9164832
MARS	-0.7490691	-0.8087015	0.07066956	-2.297643	0.1251636	0.703073	-0.2680045	-0.1398911	0.00716373	-0.1731829	0.9369487	0.4726421	0.5789292
ATP5I	0.1548319	0.05417713	0.5565084	0.5844197	0.3765356	0.426896	-0.05478363	0.105417	-0.2136911	0.6454034	-1.293532	0.2742994	0.3384728
EIF6	-0.3761716	-4.353389	-0.1467227	0.1040967	-0.7550883	-0.3515227	-2.177406	0.2074089	0.6329123	0.8250624	0.6316787	0.947336	0.6241084
CTBP2	-0.3602499	-1.545331	-0.5428791	-0.5457867	0.5487565	0.4022838	-0.4987577	0.007426843	-0.2339041	-0.1386456	0.2919567	0.05455821	-0.7040893
NUP107	-4.54153	-2.957955	-2.924646	-4.935865	-2.014859	-2.621321	-3.100366	-2.366729	-1.909198	-1.134601	-2.185244	-1.967874	-1.810654
MTPN	1.762066	0.8324639	2.276045	1.951538	2.221873	0.06439998	0.8036304	1.401243	2.452404	0.139225	1.419857	1.68346	2.00225
TPI1	6.241012	7.110977	6.433457	5.698427	7.005162	6.727049	6.913792	5.704739	6.590272	6.311892	6.325835	6.728059	6.597324
EIF3E	-1.217351	-2.313739	-1.066675	-2.100826	-1.436693	-1.186114	-2.351835	-1.979183	-1.052765	-2.136251	-1.07886	-0.6004023	-1.095839
ACTB	2.87794	3.00803	2.375206	2.367316	2.367366	2.786645	2.594656	2.422941	2.640889	1.310229	2.6154	1.163196	1.886768
EIF4A1	3.615904	3.645094	4.28651	3.738203	4.068153	3.934516	3.804564	3.919611	3.93902	3.612379	4.335246	4.494402	4.20468
RPS20	0.5242717	1.877452	1.508052	2.245429	1.42738	2.30037	2.119036	0.9858148	1.125653	1.483947	1.84692	1.634402	1.537773
CDC42	1.667115	1.123282	1.377875	1.305583	0.6428664	0.6957179	0.007945016	0.2513038	0.02058977	0.6126883	0.005453094	0.7189892	1.090746
DSTN	1.065174	0.8525541	0.8817563	1.118278	0.9321505	1.024175	0.6084383	-0.2730986	0.6269488	0.4934916	0.5967097	0.9579764	0.3630806
RAB2A	3.504879	2.9908	2.329207	1.99309	2.794169	2.791962	2.424101	1.156459	0.8384254	2.057435	2.010302	2.351235	2.318308
RAB5B	-4.824025	-1.720591	-4.398575	-4.578955	-0.9045115	-1.564744	-4.498089	-4.503456	-2.928797	-1.938831	-0.7122677	-0.9195918	-0.6370701
RAB10	1.255313	1.067276	0.9013454	0.6970766	0.4110018	0.5615046	0.4700915	-0.1513543	-0.5870125	0.6095475	0.4833659	0.6300911	0.8841162
UBE2M	-2.735753	-3.031808	-0.8041831	-3.010515	-1.755622	-0.5466969	-2.590341	-2.682847	-0.471602	-0.9346656	-1.386207	-0.09455349	-0.7912717
UBE2K	-1.92229	-1.30343	-1.212893	-1.412166	-1.076634	-0.1322837	-5.518434	-1.432282	-1.289783	-1.022375	-0.6126772	-0.2382368	-0.07073992
UBE2N	2.554334	2.59143	2.834292	2.055881	2.60317	2.74025	2.222716	2.172119	2.453978	2.434194	2.796662	2.838952	2.582662
RAB14	0.7592592	0.7594723	-0.4262813	-0.9162436	-0.1824521	-0.01344544	-0.2979327	-0.9140758	-1.003865	0.2012928	0.472216	0.5051094	0.1110422
ACTR3	-0.3178388	0.2989872	0.7812158	1.397276	0.265751	1.412811	-0.4131966	-0.3554511	0.9070224	0.721869	1.378998	0.9564272	1.090813
ACTR2	0.7666658	0.3830015	1.071226	0.3387752	0.6730019	1.002928	-0.6056544	0.3707603	0.6935309	0.9311079	1.230496	1.105188	0.7319801
ACTR1A	3.570206	3.962925	2.572938	1.980876	4.239732	2.124747	3.520352	1.357769	2.205342	1.968854	1.998326	2.227074	1.930777
ABCE1	-1.642551	-3.605984	-2.52733	-0.8913479	-3.290011	-2.369822	-3.538586	-2.350057	-1.674252	-2.683454	-2.516537	-1.402423	-1.648476
RAP1B	2.200268	2.087696	0.9393576	1.160183	0.7489209	0.04431234	1.292844	0.7936456	0.6965016	0.4662539	0.1961919	1.164687	1.044953
RPS3A	2.826673	2.525412	3.031152	3.332518	3.153237	3.489616	2.655832	3.024877	2.429006	3.201301	2.976827	3.142181	3.084007
PSME3	-0.8906155	-0.6040012	0.3470143	-0.6114331	0.2850213	0.1426439	0.01080781	0.6963624	0.6629533	-0.09651583	0.8673441	0.7041941	0.4071748
RPL27	1.301194	-0.6653877	1.319312	1.749859	1.143504	2.480637	0.7269058	1.860681	1.031822	2.232226	2.471046	1.551902	1.933721
PCBD1	-3.271755	-3.0944	-2.824429	-2.603005	-3.357914	-4.683066	-3.335832	-4.113258	-3.005989	-4.671531	-4.15871	-3.42984	-3.890649
RHOA	1.242857	1.299742	0.2499627	0.142655	0.23521	0.2998441	-0.3932122	-1.957609	-0.07479177	0.840777	0.9094925	0.9035087	0.631689
NCALD	1.27529	0.5306112	1.324966	0.9045867	0.5342212	0.3726334	0.2444221	0.06282897	-0.4926522	-0.263116	0.2954107	0.1764417	-0.1134161
HSPE1	3.269322	3.448721	3.782115	3.846666	3.638445	4.200698	3.145162	4.648244	4.320536	4.600157	4.404539	4.10321	4.457505
SUMO2	0.8284415	0.5522164	0.7386301	1.021021	1.634542	2.313741	0.9296836	1.735459	1.917679	2.006975	2.12382	1.963769	1.967249
UFM1	0.1530188	0.3961768	0.7646285	0.1559529	0.4117177	-0.8105179	0.3313078	-0.9448956	0.2511395	0.1688557	-0.5218127	0.4188325	0.3071113
DCAF7	-2.618274	-2.493911	-2.986877	-2.819151	-1.868245	-1.008334	-0.6185905	-2.394395	0.2732368	-0.2413782	0.6595761	-0.6190927	0.434802
WDR5	-4.807437	-2.442779	-3.916415	-4.840508	-1.337387	-1.200559	-3.178081	-3.203796	-2.47018	-0.9841484	-0.4963464	-0.8967375	-0.7051961
NUTF2	0.5053054	-0.1384518	0.8531938	-0.1296204	0.4866123	1.013233	-0.7323558	0.7445998	1.091175	1.203886	1.682049	1.338547	1.387239
