NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
VEGFA-VEGFR2 PATHWAY%REACTOME%R-HSA-4420097.3	VEGFA-VEGFR2 PATHWAY%REACTOME%R-HSA-4420097.3		93	0.2812507	1.1877092	0.18048781	0.5574326	1.0	603	tags=34%, list=28%, signal=46%	
TSH%NETPATH%TSH	TSH%NETPATH%TSH		29	0.35199443	1.1867044	0.23646724	0.5570219	1.0	377	tags=28%, list=18%, signal=33%	
PARKINSON DISEASE%PANTHER PATHWAY%P00049	PARKINSON DISEASE%PANTHER PATHWAY%P00049		34	0.33673534	1.1857126	0.23023579	0.55664104	1.0	154	tags=18%, list=7%, signal=19%	
SIGNALING BY VEGF%REACTOME%R-HSA-194138.1	SIGNALING BY VEGF%REACTOME%R-HSA-194138.1		93	0.2812507	1.1841005	0.1944778	0.55770147	1.0	603	tags=34%, list=28%, signal=46%	
FGF SIGNALING PATHWAY%PANTHER PATHWAY%P00021	FGF SIGNALING PATHWAY%PANTHER PATHWAY%P00021		21	0.3700463	1.1750463	0.25726745	0.5777547	1.0	844	tags=52%, list=39%, signal=86%	
C-TYPE LECTIN RECEPTORS (CLRS)%REACTOME DATABASE ID RELEASE 60%5621481	C-TYPE LECTIN RECEPTORS (CLRS)%REACTOME DATABASE ID RELEASE 60%5621481		48	0.30606666	1.1743846	0.2262069	0.5764293	1.0	484	tags=31%, list=23%, signal=39%	
GLUCONEOGENESIS%REACTOME%R-HSA-70263.1	GLUCONEOGENESIS%REACTOME%R-HSA-70263.1		19	0.38045716	1.1727064	0.26598838	0.577819	1.0	634	tags=47%, list=30%, signal=67%	
DNA DOUBLE-STRAND BREAK REPAIR%REACTOME%R-HSA-5693532.2	DNA DOUBLE-STRAND BREAK REPAIR%REACTOME%R-HSA-5693532.2		31	0.34451473	1.171696	0.24788733	0.57739663	1.0	131	tags=16%, list=6%, signal=17%	
EGF RECEPTOR SIGNALING PATHWAY%PANTHER PATHWAY%P00018	EGF RECEPTOR SIGNALING PATHWAY%PANTHER PATHWAY%P00018		22	0.3702423	1.1708041	0.25292397	0.57651657	1.0	844	tags=50%, list=39%, signal=82%	
PROTEIN FOLDING%REACTOME%R-HSA-391251.1	PROTEIN FOLDING%REACTOME%R-HSA-391251.1		39	0.3188677	1.1660905	0.24760602	0.58596206	1.0	552	tags=36%, list=26%, signal=47%	
HALLMARK_PROTEIN_SECRETION%MSIGDB_C2%HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION%MSIGDB_C2%HALLMARK_PROTEIN_SECRETION		42	0.32144678	1.1649541	0.24453552	0.58616084	1.0	443	tags=29%, list=21%, signal=35%	
HALLMARK_HEME_METABOLISM%MSIGDB_C2%HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM%MSIGDB_C2%HALLMARK_HEME_METABOLISM		35	0.32714576	1.164114	0.25874126	0.58541757	1.0	479	tags=34%, list=22%, signal=43%	
LOSS OF NLP FROM MITOTIC CENTROSOMES%REACTOME DATABASE ID RELEASE 60%380259	LOSS OF NLP FROM MITOTIC CENTROSOMES%REACTOME DATABASE ID RELEASE 60%380259		27	0.3487827	1.1609356	0.24379562	0.5905035	1.0	573	tags=37%, list=27%, signal=50%	
ANDROGENRECEPTOR%IOB%ANDROGENRECEPTOR	ANDROGENRECEPTOR%IOB%ANDROGENRECEPTOR		30	0.33450693	1.1566176	0.2581081	0.59865063	1.0	401	tags=37%, list=19%, signal=44%	
CELL CYCLE CHECKPOINTS%REACTOME DATABASE ID RELEASE 60%69620	CELL CYCLE CHECKPOINTS%REACTOME DATABASE ID RELEASE 60%69620		61	0.28707576	1.1564337	0.23970038	0.5960933	1.0	154	tags=15%, list=7%, signal=15%	
DOWNSTREAM SIGNAL TRANSDUCTION%REACTOME DATABASE ID RELEASE 60%186763	DOWNSTREAM SIGNAL TRANSDUCTION%REACTOME DATABASE ID RELEASE 60%186763		83	0.2771943	1.1553463	0.22670025	0.5958305	1.0	533	tags=29%, list=25%, signal=37%	
REGULATION OF PLK1 ACTIVITY AT G2 M TRANSITION%REACTOME DATABASE ID RELEASE 60%2565942	REGULATION OF PLK1 ACTIVITY AT G2 M TRANSITION%REACTOME DATABASE ID RELEASE 60%2565942		32	0.33712664	1.1520578	0.2651297	0.6009522	1.0	344	tags=25%, list=16%, signal=29%	
HDACS DEACETYLATE HISTONES%REACTOME%R-HSA-3214815.2	HDACS DEACETYLATE HISTONES%REACTOME%R-HSA-3214815.2		15	0.39934787	1.1513609	0.2863706	0.5996109	1.0	566	tags=27%, list=26%, signal=36%	
LOSS OF PROTEINS REQUIRED FOR INTERPHASE MICROTUBULE ORGANIZATION FROM THE CENTROSOME%REACTOME%R-HSA-380284.1	LOSS OF PROTEINS REQUIRED FOR INTERPHASE MICROTUBULE ORGANIZATION FROM THE CENTROSOME%REACTOME%R-HSA-380284.1		27	0.3487827	1.1513002	0.28038675	0.59678316	1.0	573	tags=37%, list=27%, signal=50%	
INTERLEUKIN-17 SIGNALING%REACTOME DATABASE ID RELEASE 60%448424	INTERLEUKIN-17 SIGNALING%REACTOME DATABASE ID RELEASE 60%448424		81	0.27547032	1.1504614	0.23833543	0.59594566	1.0	318	tags=21%, list=15%, signal=24%	
G2 M TRANSITION%REACTOME%R-HSA-69275.4	G2 M TRANSITION%REACTOME%R-HSA-69275.4		74	0.27779815	1.1489323	0.23852041	0.5970396	1.0	344	tags=22%, list=16%, signal=25%	
NCAM SIGNALING FOR NEURITE OUT-GROWTH%REACTOME%R-HSA-375165.1	NCAM SIGNALING FOR NEURITE OUT-GROWTH%REACTOME%R-HSA-375165.1		77	0.28166118	1.148553	0.24235006	0.59515107	1.0	334	tags=22%, list=16%, signal=25%	
PID_AR_PATHWAY%MSIGDB_C2%PID_AR_PATHWAY	PID_AR_PATHWAY%MSIGDB_C2%PID_AR_PATHWAY		16	0.38674405	1.1480613	0.29264706	0.5934384	1.0	401	tags=44%, list=19%, signal=53%	
G2 M CHECKPOINTS%REACTOME%R-HSA-69481.3	G2 M CHECKPOINTS%REACTOME%R-HSA-69481.3		60	0.28934947	1.145569	0.26329443	0.5968216	1.0	154	tags=15%, list=7%, signal=16%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS%MSIGDB_C2%HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS%MSIGDB_C2%HALLMARK_CHOLESTEROL_HOMEOSTASIS		17	0.38490742	1.1440295	0.28315946	0.59790266	1.0	564	tags=35%, list=26%, signal=48%	
MITOTIC G2-G2 M PHASES%REACTOME DATABASE ID RELEASE 60%453274	MITOTIC G2-G2 M PHASES%REACTOME DATABASE ID RELEASE 60%453274		74	0.27779815	1.140375	0.2580247	0.6044469	1.0	344	tags=22%, list=16%, signal=25%	
DEVELOPMENTAL BIOLOGY%REACTOME DATABASE ID RELEASE 60%1266738	DEVELOPMENTAL BIOLOGY%REACTOME DATABASE ID RELEASE 60%1266738		211	0.2416249	1.1370808	0.21531631	0.609913	1.0	552	tags=27%, list=26%, signal=33%	
NABA_MATRISOME%MSIGDB_C2%NABA_MATRISOME	NABA_MATRISOME%MSIGDB_C2%NABA_MATRISOME		66	0.28161576	1.1324571	0.27318296	0.61860245	1.0	591	tags=35%, list=28%, signal=47%	
PROCESSING OF DNA DOUBLE-STRAND BREAK ENDS%REACTOME%R-HSA-5693607.1	PROCESSING OF DNA DOUBLE-STRAND BREAK ENDS%REACTOME%R-HSA-5693607.1		20	0.37353763	1.1308647	0.29088277	0.619972	1.0	434	tags=25%, list=20%, signal=31%	
RHO GTPASES ACTIVATE PAKS%REACTOME%R-HSA-5627123.1	RHO GTPASES ACTIVATE PAKS%REACTOME%R-HSA-5627123.1		15	0.3895446	1.1297671	0.31305638	0.6201916	1.0	684	tags=60%, list=32%, signal=87%	
ION HOMEOSTASIS%REACTOME DATABASE ID RELEASE 60%5578775	ION HOMEOSTASIS%REACTOME DATABASE ID RELEASE 60%5578775		20	0.35935786	1.1295625	0.28970587	0.61778486	1.0	854	tags=55%, list=40%, signal=91%	
DAP12 INTERACTIONS%REACTOME DATABASE ID RELEASE 60%2172127	DAP12 INTERACTIONS%REACTOME DATABASE ID RELEASE 60%2172127		82	0.26822066	1.1287713	0.25061426	0.6170792	1.0	533	tags=28%, list=25%, signal=36%	
SIGNALING BY INTERLEUKINS%REACTOME%R-HSA-449147.7	SIGNALING BY INTERLEUKINS%REACTOME%R-HSA-449147.7		100	0.2621751	1.1276841	0.26107785	0.617152	1.0	318	tags=20%, list=15%, signal=22%	
LEPTIN%NETPATH%LEPTIN	LEPTIN%NETPATH%LEPTIN		20	0.35668382	1.1197008	0.31304348	0.63476735	1.0	449	tags=40%, list=21%, signal=50%	
DAP12 SIGNALING%REACTOME%R-HSA-2424491.1	DAP12 SIGNALING%REACTOME%R-HSA-2424491.1		81	0.26917002	1.1106158	0.28785983	0.65618473	1.0	533	tags=28%, list=25%, signal=36%	
COLLAGEN FORMATION%REACTOME DATABASE ID RELEASE 60%1474290	COLLAGEN FORMATION%REACTOME DATABASE ID RELEASE 60%1474290		23	0.34750962	1.107284	0.3103953	0.6623042	1.0	818	tags=52%, list=38%, signal=83%	
MEIOTIC RECOMBINATION%REACTOME DATABASE ID RELEASE 60%912446	MEIOTIC RECOMBINATION%REACTOME DATABASE ID RELEASE 60%912446		16	0.38647735	1.104766	0.32892805	0.6661055	1.0	73	tags=13%, list=3%, signal=13%	
UBIQUITIN PROTEASOME PATHWAY%PANTHER PATHWAY%P00060	UBIQUITIN PROTEASOME PATHWAY%PANTHER PATHWAY%P00060		15	0.38822258	1.1040521	0.3397626	0.66492695	1.0	131	tags=13%, list=6%, signal=14%	
TRANSCRIPTIONAL REGULATION BY TP53%REACTOME%R-HSA-3700989.5	TRANSCRIPTIONAL REGULATION BY TP53%REACTOME%R-HSA-3700989.5		53	0.28647172	1.1031061	0.31020942	0.6643365	1.0	589	tags=32%, list=27%, signal=43%	
GLYCOLYSIS%PANTHER PATHWAY%P00024	GLYCOLYSIS%PANTHER PATHWAY%P00024		15	0.3867239	1.1020097	0.3353941	0.6644649	1.0	570	tags=47%, list=27%, signal=63%	
WNT%NETPATH%WNT	WNT%NETPATH%WNT		17	0.37443468	1.09903	0.3449848	0.66907746	1.0	296	tags=29%, list=14%, signal=34%	
NON-INTEGRIN MEMBRANE-ECM INTERACTIONS%REACTOME%R-HSA-3000171.2	NON-INTEGRIN MEMBRANE-ECM INTERACTIONS%REACTOME%R-HSA-3000171.2		15	0.38647696	1.0982733	0.3268945	0.66816574	1.0	519	tags=40%, list=24%, signal=52%	
AURKA ACTIVATION BY TPX2%REACTOME%R-HSA-8854518.2	AURKA ACTIVATION BY TPX2%REACTOME%R-HSA-8854518.2		28	0.32590917	1.0969703	0.32911393	0.668876	1.0	573	tags=36%, list=27%, signal=48%	
UCH PROTEINASES%REACTOME DATABASE ID RELEASE 60%5689603	UCH PROTEINASES%REACTOME DATABASE ID RELEASE 60%5689603		44	0.29623792	1.096633	0.32070366	0.66686577	1.0	309	tags=20%, list=14%, signal=23%	
ARMS-MEDIATED ACTIVATION%REACTOME DATABASE ID RELEASE 60%170984	ARMS-MEDIATED ACTIVATION%REACTOME DATABASE ID RELEASE 60%170984		75	0.26815853	1.0954895	0.31463414	0.6668743	1.0	318	tags=20%, list=15%, signal=23%	
CELL JUNCTION ORGANIZATION%REACTOME%R-HSA-446728.1	CELL JUNCTION ORGANIZATION%REACTOME%R-HSA-446728.1		15	0.38405594	1.0926161	0.33281973	0.6712492	1.0	264	tags=27%, list=12%, signal=30%	
SIGNALING BY RAS MUTANTS%REACTOME DATABASE ID RELEASE 60%6802949	SIGNALING BY RAS MUTANTS%REACTOME DATABASE ID RELEASE 60%6802949		16	0.36884567	1.0903429	0.36283186	0.6739375	1.0	178	tags=19%, list=8%, signal=20%	
EPIGENETIC REGULATION OF GENE EXPRESSION%REACTOME%R-HSA-212165.1	EPIGENETIC REGULATION OF GENE EXPRESSION%REACTOME%R-HSA-212165.1		25	0.33411932	1.0902325	0.34507042	0.67128897	1.0	633	tags=28%, list=30%, signal=39%	
PARADOXICAL ACTIVATION OF RAF SIGNALING BY KINASE INACTIVE BRAF%REACTOME%R-HSA-6802955.1	PARADOXICAL ACTIVATION OF RAF SIGNALING BY KINASE INACTIVE BRAF%REACTOME%R-HSA-6802955.1		16	0.36884567	1.0882281	0.33936653	0.6737959	1.0	178	tags=19%, list=8%, signal=20%	
GLYCOLYSIS I%HUMANCYC%GLYCOLYSIS	GLYCOLYSIS I%HUMANCYC%GLYCOLYSIS		17	0.37053674	1.0878872	0.3552239	0.6717153	1.0	570	tags=41%, list=27%, signal=56%	
HALLMARK_ALLOGRAFT_REJECTION%MSIGDB_C2%HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION%MSIGDB_C2%HALLMARK_ALLOGRAFT_REJECTION		26	0.33346862	1.0840725	0.3455344	0.678444	1.0	131	tags=19%, list=6%, signal=20%	
MAP2K AND MAPK ACTIVATION%REACTOME%R-HSA-5674135.1	MAP2K AND MAPK ACTIVATION%REACTOME%R-HSA-5674135.1		15	0.37397802	1.083173	0.36053413	0.6777706	1.0	178	tags=20%, list=8%, signal=22%	
PROLONGED ERK ACTIVATION EVENTS%REACTOME%R-HSA-169893.1	PROLONGED ERK ACTIVATION EVENTS%REACTOME%R-HSA-169893.1		76	0.26171118	1.0827457	0.33418044	0.67599773	1.0	318	tags=20%, list=15%, signal=22%	
PID_NCADHERIN_PATHWAY%MSIGDB_C2%PID_NCADHERIN_PATHWAY	PID_NCADHERIN_PATHWAY%MSIGDB_C2%PID_NCADHERIN_PATHWAY		16	0.3667789	1.0817003	0.34210527	0.67606467	1.0	511	tags=44%, list=24%, signal=57%	
SIGNALING BY HIGH-KINASE ACTIVITY BRAF MUTANTS%REACTOME DATABASE ID RELEASE 60%6802948	SIGNALING BY HIGH-KINASE ACTIVITY BRAF MUTANTS%REACTOME DATABASE ID RELEASE 60%6802948		15	0.37397802	1.0794541	0.36283186	0.67921954	1.0	178	tags=20%, list=8%, signal=22%	
FCERI MEDIATED MAPK ACTIVATION%REACTOME%R-HSA-2871796.1	FCERI MEDIATED MAPK ACTIVATION%REACTOME%R-HSA-2871796.1		78	0.25704408	1.0791163	0.33619633	0.6772539	1.0	318	tags=21%, list=15%, signal=23%	
DISEASES OF SIGNAL TRANSDUCTION%REACTOME DATABASE ID RELEASE 60%5663202	DISEASES OF SIGNAL TRANSDUCTION%REACTOME DATABASE ID RELEASE 60%5663202		83	0.25912374	1.0786396	0.37698898	0.6757425	1.0	445	tags=25%, list=21%, signal=31%	
RAB GEFS EXCHANGE GTP FOR GDP ON RABS%REACTOME%R-HSA-8876198.2	RAB GEFS EXCHANGE GTP FOR GDP ON RABS%REACTOME%R-HSA-8876198.2		19	0.34812158	1.0768199	0.37446198	0.6775545	1.0	493	tags=37%, list=23%, signal=47%	
TRNA AMINOACYLATION%REACTOME DATABASE ID RELEASE 60%379724	TRNA AMINOACYLATION%REACTOME DATABASE ID RELEASE 60%379724		27	0.32113513	1.0733922	0.36708862	0.6836995	1.0	783	tags=56%, list=37%, signal=86%	
ANTIVIRAL MECHANISM BY IFN-STIMULATED GENES%REACTOME DATABASE ID RELEASE 60%1169410	ANTIVIRAL MECHANISM BY IFN-STIMULATED GENES%REACTOME DATABASE ID RELEASE 60%1169410		24	0.3319302	1.0732453	0.37518036	0.6813094	1.0	223	tags=21%, list=10%, signal=23%	
N-CADHERIN SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%N-CADHERIN SIGNALING EVENTS	N-CADHERIN SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%N-CADHERIN SIGNALING EVENTS		17	0.35664713	1.0700709	0.37880987	0.6864509	1.0	684	tags=53%, list=32%, signal=77%	
CARGO RECOGNITION FOR CLATHRIN-MEDIATED ENDOCYTOSIS%REACTOME DATABASE ID RELEASE 60%8856825	CARGO RECOGNITION FOR CLATHRIN-MEDIATED ENDOCYTOSIS%REACTOME DATABASE ID RELEASE 60%8856825		23	0.33208522	1.0694282	0.37833828	0.68531626	1.0	695	tags=43%, list=32%, signal=64%	
CELL CYCLE, MITOTIC%REACTOME DATABASE ID RELEASE 60%69278	CELL CYCLE, MITOTIC%REACTOME DATABASE ID RELEASE 60%69278		134	0.23741172	1.0692302	0.34350282	0.6830604	1.0	223	tags=14%, list=10%, signal=15%	
ISG15 ANTIVIRAL MECHANISM%REACTOME%R-HSA-1169408.2	ISG15 ANTIVIRAL MECHANISM%REACTOME%R-HSA-1169408.2		24	0.3319302	1.0690209	0.3502907	0.6808355	1.0	223	tags=21%, list=10%, signal=23%	
ST_FAS_SIGNALING_PATHWAY%MSIGDB_C2%ST_FAS_SIGNALING_PATHWAY	ST_FAS_SIGNALING_PATHWAY%MSIGDB_C2%ST_FAS_SIGNALING_PATHWAY		15	0.3705353	1.0668626	0.37198794	0.6835633	1.0	466	tags=40%, list=22%, signal=51%	
SIGNALING BY MODERATE KINASE ACTIVITY BRAF MUTANTS%REACTOME%R-HSA-6802946.1	SIGNALING BY MODERATE KINASE ACTIVITY BRAF MUTANTS%REACTOME%R-HSA-6802946.1		16	0.36884567	1.0624602	0.4076336	0.691994	1.0	178	tags=19%, list=8%, signal=20%	
HALLMARK_ADIPOGENESIS%MSIGDB_C2%HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS%MSIGDB_C2%HALLMARK_ADIPOGENESIS		65	0.26495188	1.056411	0.3833116	0.70465225	1.0	220	tags=15%, list=10%, signal=17%	
SIG_PIP3_SIGNALING_IN_CARDIAC_MYOCTES%MSIGDB_C2%SIG_PIP3_SIGNALING_IN_CARDIAC_MYOCTES	SIG_PIP3_SIGNALING_IN_CARDIAC_MYOCTES%MSIGDB_C2%SIG_PIP3_SIGNALING_IN_CARDIAC_MYOCTES		15	0.3624588	1.0558949	0.3876923	0.7030531	1.0	353	tags=33%, list=16%, signal=40%	
CLEC7A (DECTIN-1) SIGNALING%REACTOME DATABASE ID RELEASE 60%5607764	CLEC7A (DECTIN-1) SIGNALING%REACTOME DATABASE ID RELEASE 60%5607764		43	0.28565484	1.0530432	0.4013986	0.70733094	1.0	484	tags=30%, list=23%, signal=38%	
SIGNALLING TO ERKS%REACTOME%R-HSA-187687.1	SIGNALLING TO ERKS%REACTOME%R-HSA-187687.1		77	0.25735325	1.0529526	0.39208174	0.7047483	1.0	318	tags=19%, list=15%, signal=22%	
CHROMATIN ORGANIZATION%REACTOME DATABASE ID RELEASE 60%4839726	CHROMATIN ORGANIZATION%REACTOME DATABASE ID RELEASE 60%4839726		42	0.27920568	1.0464454	0.38537273	0.7182472	1.0	633	tags=26%, list=30%, signal=36%	
HDR THROUGH HOMOLOGOUS RECOMBINATION (HR) OR SINGLE STRAND ANNEALING (SSA)%REACTOME%R-HSA-5693567.1	HDR THROUGH HOMOLOGOUS RECOMBINATION (HR) OR SINGLE STRAND ANNEALING (SSA)%REACTOME%R-HSA-5693567.1		22	0.32896516	1.041133	0.42507204	0.72867805	1.0	434	tags=23%, list=20%, signal=28%	
PROTEIN UBIQUITINATION%REACTOME DATABASE ID RELEASE 60%8852135	PROTEIN UBIQUITINATION%REACTOME DATABASE ID RELEASE 60%8852135		16	0.36280116	1.0359441	0.4206696	0.7388625	1.0	270	tags=19%, list=13%, signal=21%	
APOPTOSIS SIGNALING PATHWAY%PANTHER PATHWAY%P00006	APOPTOSIS SIGNALING PATHWAY%PANTHER PATHWAY%P00006		15	0.35766858	1.0352812	0.41993958	0.7377009	1.0	849	tags=47%, list=40%, signal=77%	
SIGNALING BY SCF-KIT%REACTOME%R-HSA-1433557.1	SIGNALING BY SCF-KIT%REACTOME%R-HSA-1433557.1		78	0.24727015	1.0350125	0.39925835	0.735585	1.0	533	tags=27%, list=25%, signal=35%	
FACTORS INVOLVED IN MEGAKARYOCYTE DEVELOPMENT AND PLATELET PRODUCTION%REACTOME%R-HSA-983231.2	FACTORS INVOLVED IN MEGAKARYOCYTE DEVELOPMENT AND PLATELET PRODUCTION%REACTOME%R-HSA-983231.2		31	0.298137	1.0299536	0.43370166	0.7457448	1.0	603	tags=39%, list=28%, signal=53%	
SYNDECAN-1-MEDIATED SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%SYNDECAN-1-MEDIATED SIGNALING EVENTS	SYNDECAN-1-MEDIATED SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%SYNDECAN-1-MEDIATED SIGNALING EVENTS		16	0.35689864	1.025353	0.4387292	0.75420004	1.0	334	tags=25%, list=16%, signal=29%	
CHROMATIN MODIFYING ENZYMES%REACTOME DATABASE ID RELEASE 60%3247509	CHROMATIN MODIFYING ENZYMES%REACTOME DATABASE ID RELEASE 60%3247509		42	0.27920568	1.0237978	0.4344371	0.7552793	1.0	633	tags=26%, list=30%, signal=36%	
DOWNSTREAM SIGNALING EVENTS OF B CELL RECEPTOR (BCR)%REACTOME DATABASE ID RELEASE 60%1168372	DOWNSTREAM SIGNALING EVENTS OF B CELL RECEPTOR (BCR)%REACTOME DATABASE ID RELEASE 60%1168372		47	0.2742442	1.0229355	0.44547874	0.7545646	1.0	411	tags=23%, list=19%, signal=28%	
SOS-MEDIATED SIGNALLING%REACTOME DATABASE ID RELEASE 60%112412	SOS-MEDIATED SIGNALLING%REACTOME DATABASE ID RELEASE 60%112412		73	0.24784859	1.021376	0.42983565	0.75567275	1.0	318	tags=19%, list=15%, signal=22%	
PID_SYNDECAN_1_PATHWAY%MSIGDB_C2%PID_SYNDECAN_1_PATHWAY	PID_SYNDECAN_1_PATHWAY%MSIGDB_C2%PID_SYNDECAN_1_PATHWAY		17	0.3445245	1.0205196	0.41979012	0.7548972	1.0	334	tags=24%, list=16%, signal=28%	
SIGNALING BY LEPTIN%REACTOME%R-HSA-2586552.1	SIGNALING BY LEPTIN%REACTOME%R-HSA-2586552.1		74	0.24716873	1.0204786	0.4483188	0.7521431	1.0	318	tags=19%, list=15%, signal=21%	
RET SIGNALING%REACTOME DATABASE ID RELEASE 60%8853659	RET SIGNALING%REACTOME DATABASE ID RELEASE 60%8853659		75	0.24548414	1.0203532	0.42558426	0.7497087	1.0	318	tags=19%, list=15%, signal=21%	
PID_MTOR_4PATHWAY%MSIGDB_C2%PID_MTOR_4PATHWAY	PID_MTOR_4PATHWAY%MSIGDB_C2%PID_MTOR_4PATHWAY		23	0.31234056	1.020304	0.4338549	0.7470444	1.0	844	tags=48%, list=39%, signal=78%	
VEGFR2 MEDIATED CELL PROLIFERATION%REACTOME%R-HSA-5218921.2	VEGFR2 MEDIATED CELL PROLIFERATION%REACTOME%R-HSA-5218921.2		75	0.2480099	1.0188664	0.42627013	0.7479044	1.0	484	tags=25%, list=23%, signal=32%	
INTERLEUKIN-3, 5 AND GM-CSF SIGNALING%REACTOME%R-HSA-512988.3	INTERLEUKIN-3, 5 AND GM-CSF SIGNALING%REACTOME%R-HSA-512988.3		78	0.2500693	1.0169605	0.46212122	0.74983823	1.0	318	tags=19%, list=15%, signal=22%	
SIGNALLING TO P38 VIA RIT AND RIN%REACTOME%R-HSA-187706.1	SIGNALLING TO P38 VIA RIT AND RIN%REACTOME%R-HSA-187706.1		73	0.24784859	1.016287	0.44	0.74863327	1.0	318	tags=19%, list=15%, signal=22%	
ERK1 ERK2 PATHWAY%REACTOME DATABASE ID RELEASE 60%5684996	ERK1 ERK2 PATHWAY%REACTOME DATABASE ID RELEASE 60%5684996		74	0.24716873	1.0096881	0.4516129	0.7627083	1.0	318	tags=19%, list=15%, signal=21%	
GRB2 EVENTS IN EGFR SIGNALING%REACTOME DATABASE ID RELEASE 60%179812	GRB2 EVENTS IN EGFR SIGNALING%REACTOME DATABASE ID RELEASE 60%179812		73	0.24784859	1.0074301	0.47421384	0.765727	1.0	318	tags=19%, list=15%, signal=22%	
CELL-CELL COMMUNICATION%REACTOME DATABASE ID RELEASE 60%1500931	CELL-CELL COMMUNICATION%REACTOME DATABASE ID RELEASE 60%1500931		28	0.29577363	1.006761	0.4495549	0.76457465	1.0	271	tags=21%, list=13%, signal=24%	
SHC1 EVENTS IN EGFR SIGNALING%REACTOME%R-HSA-180336.1	SHC1 EVENTS IN EGFR SIGNALING%REACTOME%R-HSA-180336.1		73	0.24784859	1.0064927	0.4489796	0.7625256	1.0	318	tags=19%, list=15%, signal=22%	
RAF MAP KINASE CASCADE%REACTOME%R-HSA-5673001.3	RAF MAP KINASE CASCADE%REACTOME%R-HSA-5673001.3		73	0.24784859	1.0056753	0.47058824	0.7617791	1.0	318	tags=19%, list=15%, signal=22%	
SIGNALING BY BRAF AND RAF FUSIONS%REACTOME DATABASE ID RELEASE 60%6802952	SIGNALING BY BRAF AND RAF FUSIONS%REACTOME DATABASE ID RELEASE 60%6802952		26	0.30338	1.0054628	0.4569343	0.75950396	1.0	426	tags=27%, list=20%, signal=33%	
DEGRADATION OF BETA-CATENIN BY THE DESTRUCTION COMPLEX%REACTOME%R-HSA-195253.1	DEGRADATION OF BETA-CATENIN BY THE DESTRUCTION COMPLEX%REACTOME%R-HSA-195253.1		43	0.27353778	1.001865	0.46433204	0.765665	1.0	411	tags=26%, list=19%, signal=31%	
SIGNALLING TO RAS%REACTOME DATABASE ID RELEASE 60%167044	SIGNALLING TO RAS%REACTOME DATABASE ID RELEASE 60%167044		74	0.2434262	1.0014956	0.48698884	0.76379186	1.0	318	tags=19%, list=15%, signal=21%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING%MSIGDB_C2%HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING%MSIGDB_C2%HALLMARK_PI3K_AKT_MTOR_SIGNALING		26	0.30198467	1.0000601	0.48290598	0.76455057	1.0	511	tags=35%, list=24%, signal=45%	
POSITIVE EPIGENETIC REGULATION OF RRNA EXPRESSION%REACTOME DATABASE ID RELEASE 60%5250913	POSITIVE EPIGENETIC REGULATION OF RRNA EXPRESSION%REACTOME DATABASE ID RELEASE 60%5250913		20	0.32250196	0.9980659	0.479638	0.76676863	1.0	510	tags=20%, list=24%, signal=26%	
ONCOGENIC MAPK SIGNALING%REACTOME DATABASE ID RELEASE 60%6802957	ONCOGENIC MAPK SIGNALING%REACTOME DATABASE ID RELEASE 60%6802957		27	0.29997852	0.99757385	0.49305555	0.7651597	1.0	426	tags=26%, list=20%, signal=32%	
FAS%IOB%FAS	FAS%IOB%FAS		35	0.2831755	0.9949371	0.47144756	0.7690651	1.0	552	tags=40%, list=26%, signal=53%	
FRS2-MEDIATED ACTIVATION%REACTOME DATABASE ID RELEASE 60%170968	FRS2-MEDIATED ACTIVATION%REACTOME DATABASE ID RELEASE 60%170968		74	0.24169007	0.9859657	0.48363635	0.7886015	1.0	533	tags=27%, list=25%, signal=35%	
CARDIAC CONDUCTION%REACTOME%R-HSA-5576891.2	CARDIAC CONDUCTION%REACTOME%R-HSA-5576891.2		23	0.30869508	0.97968656	0.497006	0.8017114	1.0	468	tags=30%, list=22%, signal=39%	
HSP90 CHAPERONE CYCLE FOR SHRS%REACTOME%R-HSA-3371497.1	HSP90 CHAPERONE CYCLE FOR SHRS%REACTOME%R-HSA-3371497.1		20	0.31298587	0.9796429	0.5102041	0.7989988	1.0	527	tags=35%, list=25%, signal=46%	
